file,npts,vmin,vmax,vstep_med,Lmax,Jmax,PDmax,pd_noise_off,L_per_PDV,noise_L_equiv,J_leak,J_rev,EQEmax,L_at_EQEmax,EQE_1,EQE_10,EQE_100,EQE_1000,lum_per_mW
2021-08-05_tbpe-tfe_d44_p4_eval.csv,34,-2.0,4.5,0.1,4514.2,84.08131,0.1401771,nan,32203.513555760597,nan,0.48707,0.93557,4.24,600.69,0.11384383922837438,0.9244696015618802,3.269897355758093,4.203014878065551,55470.63160481691
2021-08-05_tbpe-tfe_d44_p5_eval.csv,34,-2.0,4.5,0.1,7953.48,154.13806,0.2469754,1.8044805346691884e-05,32203.52332617249,0.5811063098984341,0.00241,0.00137,209.75,0.8,162.31215483912032,3.4108306244666595,4.258314176537238,4.36743753894627,55471.33491421397
2021-08-11_BSB4 Cs var_d11_p1_jvl_eval.csv,29,-2.0,6.0,0.2,1.55,0.0,0.0001216,6.464655574766278e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,25833.333333333332
2021-08-11_BSB4 Cs var_d11_p4_jvl_eval.csv,29,-2.0,6.0,0.2,1.42,3838.07438,0.0001172,nan,nan,nan,142.66631,239.91287,nan,nan,nan,nan,nan,nan,23666.666666666664
2021-08-11_BSB4 Cs var_d11_p5_jvl_eval.csv,29,-2.0,6.0,0.2,2.83,4126.66812,0.0002219,nan,nan,nan,146.6685,154.8145,2565.12,2.63,nan,nan,nan,nan,25727.272727272728
2021-08-11_BSB4 Cs var_d11_p8_jvl_eval.csv,29,-2.0,6.0,0.2,0.27,4018.71188,0.0001562,nan,nan,nan,231.18012,156.47125,nan,nan,nan,nan,nan,nan,27000.0
2021-08-11_BSB4 Cs var_d12_p1_jvl_eval.csv,29,-2.0,6.0,0.2,0.99,0.00153,7.74e-05,1.2287945312378308e-05,nan,nan,0.0001,0.00021,2033.83,0.25,nan,nan,nan,nan,24749.999999999996
2021-08-11_BSB4 Cs var_d12_p4_jvl_eval.csv,29,-2.0,6.0,0.2,1.15,1755.83375,9.05e-05,nan,nan,nan,147.07775,190.41131,nan,nan,nan,nan,nan,nan,22999.999999999996
2021-08-11_BSB4 Cs var_d12_p5_jvl_eval.csv,29,-2.0,6.0,0.2,0.46,3857.83937,0.0001442,nan,nan,nan,337.06675,444.18762,nan,nan,nan,nan,nan,nan,23000.0
2021-08-11_BSB4 Cs var_d12_p8_jvl_eval.csv,29,-2.0,6.0,0.2,0.34,3930.95,7.46e-05,nan,nan,nan,605.39681,805.52125,nan,nan,nan,nan,nan,nan,34000.0
2021-08-11_BSB4 Cs var_d13_p1_jvl_eval.csv,29,-2.0,6.0,0.2,0.54,4036.22375,8.17e-05,nan,nan,nan,143.30994,3.46672,0.03,0.2,nan,nan,nan,nan,27000.0
2021-08-11_BSB4 Cs var_d13_p4_jvl_eval.csv,29,-2.0,6.0,0.2,0.24,0.01798,0.0001853,7.502987671587899e-05,nan,nan,0.0001,0.00018,155.65,0.03,nan,nan,nan,nan,23999.999999999996
2021-08-11_BSB4 Cs var_d13_p5_jvl_eval.csv,29,-2.0,6.0,0.2,0.05,4520.345,0.0007501,nan,nan,nan,285.36662,206.56288,nan,nan,nan,nan,nan,nan,nan
2021-08-11_BSB4 Cs var_d13_p8_jvl_eval.csv,29,-2.0,6.0,0.2,3.2,0.03021,0.0002515,nan,nan,nan,0.00021,0.01846,7087.29,2.61,nan,nan,nan,nan,24615.38461538462
2021-08-11_BSB4 Cs var_d14_p1_jvl_eval.csv,29,-2.0,6.0,0.2,2.38,0.0,0.0003508,9.881117689888471e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,23799.999999999996
2021-08-11_BSB4 Cs var_d14_p4_jvl_eval.csv,29,-2.0,6.0,0.2,5.68,4372.28688,0.0004458,nan,nan,nan,1188.87437,1572.34687,nan,nan,nan,nan,nan,nan,24695.65217391304
2021-08-11_BSB4 Cs var_d14_p5_jvl_eval.csv,29,-2.0,6.0,0.2,0.47,0.42454,0.0002953,nan,nan,nan,0.07073,0.10616,1712.16,0.07,nan,nan,nan,nan,23499.999999999996
2021-08-11_BSB4 Cs var_d14_p8_jvl_eval.csv,29,-2.0,6.0,0.2,0.31,0.09526,0.0002748,8.389574542251829e-05,nan,nan,5e-05,7e-05,206.05,0.18,nan,nan,nan,nan,30999.999999999996
2021-08-11_BSB4 Cs var_d21_p1_jvl_eval.csv,29,-2.0,6.0,0.2,0.13,36.30872,0.0001918,nan,nan,nan,36.30872,27.94855,1.47,0.13,nan,nan,nan,nan,13000.0
2021-08-11_BSB4 Cs var_d21_p4_jvl_eval.csv,29,-2.0,6.0,0.2,0.1,4087.11438,0.0001055,nan,nan,nan,139.751,1.08589,nan,nan,nan,nan,nan,nan,nan
2021-08-11_BSB4 Cs var_d21_p5_jvl_eval.csv,29,-2.0,6.0,0.2,2.3,4115.34312,0.0001806,nan,nan,nan,567.10706,687.635,nan,nan,nan,nan,nan,nan,25555.55555555555
2021-08-11_BSB4 Cs var_d21_p8_jvl_eval.csv,29,-2.0,6.0,0.2,0.64,3810.76312,0.0001695,nan,nan,nan,88.99925,34.91016,nan,nan,nan,nan,nan,nan,21333.333333333332
2021-08-11_BSB4 Cs var_d22_p1_jvl_eval.csv,29,-2.0,6.0,0.2,1.85,1001.99,0.000145,nan,nan,nan,92.28875,21.60576,39.46,0.73,14.90373469237393,nan,nan,nan,26428.57142857143
2021-08-11_BSB4 Cs var_d22_p4_jvl_eval.csv,29,-2.0,6.0,0.2,1.56,4092.72937,0.0001222,nan,nan,nan,243.19106,270.41269,nan,nan,nan,nan,nan,nan,26000.0
2021-08-11_BSB4 Cs var_d22_p5_jvl_eval.csv,29,-2.0,6.0,0.2,-0.02,3883.25437,0.0001326,nan,nan,nan,281.32862,219.22744,nan,nan,nan,nan,nan,nan,nan
2021-08-11_BSB4 Cs var_d22_p8_jvl_eval.csv,29,-2.0,6.0,0.2,2.18,3969.83625,0.0001708,nan,nan,nan,288.92356,291.4125,0.01,1.32,nan,nan,nan,nan,24222.222222222223
2021-08-11_BSB4 Cs var_d23_p1_jvl_eval.csv,29,-2.0,6.0,0.2,0.23,4124.49813,0.000143,nan,nan,nan,93.105,105.59025,nan,nan,nan,nan,nan,nan,23000.0
2021-08-11_BSB4 Cs var_d23_p4_jvl_eval.csv,29,-2.0,6.0,0.2,2.81,1703.71562,0.0002204,nan,nan,nan,0.00017,0.00037,7729.16,2.21,nan,nan,nan,nan,25545.454545454544
2021-08-11_BSB4 Cs var_d23_p5_jvl_eval.csv,29,-2.0,6.0,0.2,0.76,0.01735,0.0005573,9.891966639652602e-05,nan,nan,5e-05,8e-05,2060.81,0.42,nan,nan,nan,nan,25333.333333333332
2021-08-11_BSB4 Cs var_d23_p8_jvl_eval.csv,29,-2.0,6.0,0.2,-0.22,1531.43375,0.0004829,nan,nan,nan,126.878,129.88837,nan,nan,nan,nan,nan,nan,nan
2021-08-11_BSB4 Cs var_d24_p1_jvl_eval.csv,29,-2.0,6.0,0.2,1.52,1341.90313,0.0001191,nan,nan,nan,329.80069,439.24788,nan,nan,nan,nan,nan,nan,25333.333333333332
2021-08-11_BSB4 Cs var_d24_p4_jvl_eval.csv,29,-2.0,6.0,0.2,0.54,0.26758,0.0001791,nan,nan,nan,0.00024,0.00031,101.35,0.54,nan,nan,nan,nan,27000.0
2021-08-11_BSB4 Cs var_d24_p5_jvl_eval.csv,29,-2.0,6.0,0.2,1.16,0.00078,0.000363,4.142907191815911e-05,nan,nan,0.00013,0.00017,337.98,1.16,290.13607632124626,nan,nan,nan,23199.999999999996
2021-08-11_BSB4 Cs var_d24_p8_jvl_eval.csv,29,-2.0,6.0,0.2,0.77,0.10011,0.0001452,nan,nan,nan,0.00042,0.00057,186.47,0.77,nan,nan,nan,nan,25666.666666666668
2021-08-11_BSB4 Cs var_d31_p1_jvl_eval.csv,39,-2.0,8.0,0.2,2.06,86.30175,0.0001617,nan,nan,nan,0.00123,0.00171,460.03,1.19,65.75047025769535,nan,nan,nan,25750.0
2021-08-11_BSB4 Cs var_d31_p4_jvl_eval.csv,39,-2.0,8.0,0.2,32.99,5592.90625,0.0025887,nan,12743.848263607215,nan,235.98212,200.51856,0.01,1.72,nan,nan,nan,nan,24804.51127819549
2021-08-11_BSB4 Cs var_d31_p5_jvl_eval.csv,39,-2.0,8.0,0.2,10.19,5104.10063,0.0007997,nan,nan,nan,166.24488,37.69707,nan,nan,nan,nan,nan,nan,24853.658536585364
2021-08-11_BSB4 Cs var_d31_p8_jvl_eval.csv,39,-2.0,8.0,0.2,0.77,0.17494,0.0001602,nan,nan,nan,0.00026,0.00155,152.69,0.26,nan,nan,nan,nan,25666.666666666668
2021-08-11_BSB4 Cs var_d32_p1_jvl_eval.csv,29,-2.0,6.0,0.2,0.08,0.0,0.0001683,4.5869812672665725e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2021-08-11_BSB4 Cs var_d32_p4_jvl_eval.csv,29,-2.0,6.0,0.2,0.96,0.00547,0.0001249,4.652176238063214e-05,nan,nan,4e-05,7e-05,297.2,0.64,nan,nan,nan,nan,23999.999999999996
2021-08-11_BSB4 Cs var_d32_p5_jvl_eval.csv,29,-2.0,6.0,0.2,0.71,2.31389,0.0001049,nan,nan,nan,0.00382,2.31389,47.96,0.34,nan,nan,nan,nan,23666.666666666664
2021-08-11_BSB4 Cs var_d32_p8_jvl_eval.csv,29,-2.0,6.0,0.2,0.74,3643.94187,0.0001442,nan,nan,nan,192.38775,17.8123,0.02,0.5,nan,nan,nan,nan,24666.666666666664
2021-08-11_BSB4 Cs var_d33_p1_jvl_eval.csv,29,-2.0,6.0,0.2,1.42,3166.34188,0.0001116,nan,nan,nan,51.40342,85.50931,0.01,0.85,nan,nan,nan,nan,23666.666666666664
2021-08-11_BSB4 Cs var_d33_p4_jvl_eval.csv,29,-2.0,6.0,0.2,4.09,1722.35937,0.0003209,nan,nan,nan,183.83937,160.06419,0.01,2.81,nan,nan,nan,nan,24058.823529411762
2021-08-11_BSB4 Cs var_d33_p5_jvl_eval.csv,29,-2.0,6.0,0.2,0.6,4242.265,0.000173,nan,nan,nan,100.13931,1.26097,0.26,0.6,nan,nan,nan,nan,29999.999999999996
2021-08-11_BSB4 Cs var_d33_p8_jvl_eval.csv,29,-2.0,6.0,0.2,1.51,0.12406,0.0001185,nan,nan,nan,0.0001,0.03471,4513.87,1.48,785.6473178833439,nan,nan,nan,25166.666666666668
2021-08-11_BSB4 Cs var_d34_p1_jvl_eval.csv,29,-2.0,6.0,0.2,1.27,4681.79,9.95e-05,nan,nan,nan,266.6585,361.26106,nan,nan,nan,nan,nan,nan,25400.0
2021-08-11_BSB4 Cs var_d34_p4_jvl_eval.csv,29,-2.0,6.0,0.2,0.51,4447.21,0.0001664,nan,nan,nan,136.43225,2.00764,0.04,0.21,nan,nan,nan,nan,25500.0
2021-08-11_BSB4 Cs var_d34_p5_jvl_eval.csv,29,-2.0,6.0,0.2,0.52,4420.7575,0.0001814,nan,nan,nan,233.09056,260.89575,3.46,0.01,nan,nan,nan,nan,26000.0
2021-08-11_BSB4 Cs var_d34_p8_jvl_eval.csv,29,-2.0,6.0,0.2,2.95,0.12383,0.0002316,2.3754797410207485e-05,nan,nan,0.00014,0.0002,6924.23,1.98,5.72405076859227,nan,nan,nan,24583.333333333336
2021-08-11_BSB4 Cs var_d41_p1_jvl_eval.csv,39,-2.0,8.0,0.2,1.09,4473.82937,0.0001087,nan,nan,nan,192.68625,24.10344,nan,nan,nan,nan,nan,nan,27250.0
2021-08-11_BSB4 Cs var_d41_p4_jvl_eval.csv,39,-2.0,8.0,0.2,12.4,5010.59312,0.0009732,nan,nan,nan,240.68563,227.26225,0.01,2.0,nan,nan,nan,nan,24800.0
2021-08-11_BSB4 Cs var_d41_p5_jvl_eval.csv,39,-2.0,8.0,0.2,5.56,4758.08375,0.0004361,nan,nan,nan,188.63269,2.30006,447.5,0.15,nan,nan,nan,nan,25272.72727272727
2021-08-11_BSB4 Cs var_d41_p8_jvl_eval.csv,39,-2.0,8.0,0.2,1.37,0.0,0.0001076,4.090988460967741e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,22833.333333333336
2021-08-11_BSB4 Cs var_d42_p1_jvl_eval.csv,39,-2.0,8.0,0.2,2.33,5033.79125,0.0002951,nan,nan,nan,7.91918,8.93621,0.01,0.26,nan,nan,nan,nan,25888.888888888887
2021-08-11_BSB4 Cs var_d42_p4_jvl_eval.csv,39,-2.0,8.0,0.2,0.22,0.01857,0.0002026,2.7747908029255106e-05,nan,nan,0.00011,0.00017,74.23,0.08,nan,nan,nan,nan,22000.0
2021-08-11_BSB4 Cs var_d42_p5_jvl_eval.csv,39,-2.0,8.0,0.2,2.29,0.97461,0.000523,nan,nan,nan,0.00038,0.97461,1079.98,1.72,110.42953307379004,nan,nan,nan,25444.44444444444
2021-08-11_BSB4 Cs var_d42_p8_jvl_eval.csv,39,-2.0,8.0,0.2,0.92,3090.93,0.0001193,3.1237276298607656e-05,nan,nan,61.14241,77.17413,nan,nan,nan,nan,nan,nan,23000.0
2021-08-11_BSB4 Cs var_d43_p1_jvl_eval.csv,39,-2.0,8.0,0.2,0.2,0.0,0.0001211,3.0233031819811776e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,20000.0
2021-08-11_BSB4 Cs var_d43_p4_jvl_eval.csv,39,-2.0,8.0,0.2,0.57,0.41473,0.0001518,nan,nan,nan,8e-05,0.41473,165.23,0.09,nan,nan,nan,nan,28499.999999999996
