file,class,Lmax,J_leak,EQE_100,Eplateau,noiseL,offL,L_min_trust
2021-08-18_BSB4 pin OLED Al_d14_p5_jvl_eval.csv,dead,0.33,0.00412,,,,,
2021-08-18_BSB4 pin OLED Al_d14_p8_jvl_eval.csv,dead,0.02,0.00996,,,,,
2021-08-18_BSB4 pin OLED Al_d21_p1_jvl_eval.csv,dead,0.4,1.35876,,,,,
2021-08-18_BSB4 pin OLED Al_d21_p4_jvl_eval.csv,dead,3.17,0.01369,,,,,
2021-08-18_BSB4 pin OLED Al_d21_p5_jvl_eval.csv,dead,0.18,6e-05,,,,,
2021-08-18_BSB4 pin OLED Al_d21_p8_jvl_eval.csv,dead,1.1,0.12993,,,,,
2021-08-18_BSB4 pin OLED Al_d22_p1_jvl_eval.csv,dead,0.39,1e-05,,,,,
2021-08-18_BSB4 pin OLED Al_d22_p4_jvl_eval.csv,dead,-0.14,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d22_p5_jvl_eval.csv,dead,1.14,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d22_p8_jvl_eval.csv,dead,3.59,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d23_p1_jvl_eval.csv,dead,4.08,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d23_p4_jvl_eval.csv,dead,1.77,4e-05,,,,,
2021-08-18_BSB4 pin OLED Al_d23_p5_jvl_eval.csv,dead,1.01,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d23_p8_jvl_eval.csv,dead,0.84,0.00139,,,,,
2021-08-18_BSB4 pin OLED Al_d24_p1_jvl_eval.csv,dead,0.22,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d24_p4_jvl_eval.csv,dead,0.67,0.00058,,,,,
2021-08-18_BSB4 pin OLED Al_d24_p5_jvl_eval.csv,dead,1.16,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d24_p8_jvl_eval.csv,dead,0.51,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d31_p1_jvl_eval.csv,dead,2.35,0.15542,,,,,
2021-08-18_BSB4 pin OLED Al_d31_p4_jvl_eval.csv,dead,1.36,0.23181,,,,,
2021-08-18_BSB4 pin OLED Al_d31_p5_jvl_eval.csv,dead,0.75,0.8635,,,,,
2021-08-18_BSB4 pin OLED Al_d31_p8_jvl_eval.csv,dead,1.38,0.01712,,,,,
2021-08-18_BSB4 pin OLED Al_d32_p1_jvl_eval.csv,dead,1.15,0.13486,,,,,
2021-08-18_BSB4 pin OLED Al_d32_p4_jvl_eval.csv,dead,0.06,0.64314,,,,,
2021-08-18_BSB4 pin OLED Al_d32_p5_jvl_eval.csv,dead,0.98,0.13301,,,,,
2021-08-18_BSB4 pin OLED Al_d32_p8_jvl_eval.csv,dead,0.56,0.2249,,,,,
2021-08-18_BSB4 pin OLED Al_d33_p1_jvl_eval.csv,dead,1.25,0.00036,,,,,
2021-08-18_BSB4 pin OLED Al_d33_p4_jvl_eval.csv,dead,2.66,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d33_p5_jvl_eval.csv,dead,0.98,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d33_p8_jvl_eval.csv,dead,0.76,0.08095,,,,,
2021-08-18_BSB4 pin OLED Al_d34_p1_jvl_eval.csv,dead,1.96,1e-05,,,,,
2021-08-18_BSB4 pin OLED Al_d34_p4_jvl_eval.csv,dead,2.43,0.00508,,,,,
2021-08-18_BSB4 pin OLED Al_d34_p5_jvl_eval.csv,dead,1.29,0.08251,,,,,
2021-08-18_BSB4 pin OLED Al_d34_p8_jvl_eval.csv,dead,1.14,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d41_p1_jvl_eval.csv,dead,2.18,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d41_p4_jvl_eval.csv,dead,1.2,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d41_p5_jvl_eval.csv,dead,2.44,0.1114,,,,,
2021-08-18_BSB4 pin OLED Al_d41_p8_jvl_eval.csv,dead,2.23,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d42_p1_jvl_eval.csv,dead,1.18,0.18099,,,,,
2021-08-18_BSB4 pin OLED Al_d42_p4_jvl_eval.csv,dead,0.32,0.32258,,,,,
2021-08-18_BSB4 pin OLED Al_d42_p5_jvl_eval.csv,dead,3.81,12.8384,,,,,
2021-08-18_BSB4 pin OLED Al_d42_p8_jvl_eval.csv,dead,0.42,0.27234,,,,,
2021-08-18_BSB4 pin OLED Al_d43_p1_jvl_eval.csv,dead,2.58,1.62596,,,,,
2021-08-18_BSB4 pin OLED Al_d43_p4_jvl_eval.csv,dead,0.41,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d43_p5_jvl_eval.csv,dead,2.87,0.0,,,,,
2021-08-18_BSB4 pin OLED Al_d43_p8_jvl_eval.csv,dead,0.88,0.11804,,,,,
2021-08-18_BSB4 pin OLED Al_d44_p1_jvl_eval.csv,dead,2.42,0.05209,,,,,
2021-08-18_BSB4 pin OLED Al_d44_p4_jvl_eval.csv,dead,0.63,0.13638,,,,,
2021-08-18_BSB4 pin OLED Al_d44_p5_jvl_eval.csv,dead,0.61,0.11019,,,,,
2021-08-23_210823_d42_p1_jvl_eval.csv,dim,40.97,4e-05,,,,,
2021-08-23_210823_d42_p5_jvl_eval.csv,dead,0.0,0.65578,,,,,
2021-08-23_210823_d42_p8_jvl_eval.csv,dim,44.21,2e-05,,,,,
2021-08-25_CBP with BSBCz_d11_p1_jvl_eval.csv,leaky,949.94,0.01352,1.6747218770648729,1.92,0.7993271159973626,-1.556650311116534,8.0
2021-08-25_CBP with BSBCz_d11_p4_jvl_eval.csv,dead,0.0,103.0895,,,,,
2021-08-25_CBP with BSBCz_d11_p5_jvl_eval.csv,reliable,940.02,8e-05,1.7820008845248136,1.84,1.843642000823916,-2.4349335828681444,18.0
2021-08-25_CBP with BSBCz_d11_p8_jvl_eval.csv,reliable,917.61,0.00061,1.9786826423560135,1.89,0.9394052531964152,-1.4227590369904226,9.0
2021-08-25_CBP with BSBCz_d12_p1_jvl_eval.csv,reliable,3044.87,0.00011,1.9349364655399488,1.85,1.898945404566218,-1.0940077633999772,19.0
2021-08-25_CBP with BSBCz_d12_p4_jvl_eval.csv,reliable,3280.06,0.00189,1.825288713553195,1.86,0.8939662898712811,0.5087635621699471,9.0
2021-08-25_CBP with BSBCz_d12_p5_jvl_eval.csv,dead,0.0,0.13966,,,,,
2021-08-25_CBP with BSBCz_d12_p8_jvl_eval.csv,dead,0.0,0.02456,,,,,
2021-08-25_CBP with BSBCz_d13_p1_jvl_eval.csv,leaky,1997.41,0.01321,0.4588083617886919,1.15,2.7658619941964897,0.4132607121092109,28.0
2021-08-25_CBP with BSBCz_d13_p4_jvl_eval.csv,reliable,1843.98,0.00126,0.9631683815522768,1.75,2.497305597096852,-9.502938719742351,25.0
2021-08-25_CBP with BSBCz_d13_p5_jvl_eval.csv,reliable,1684.74,0.00069,1.752590275475854,1.855,1.124672273900056,0.4112250081564098,11.0
2021-08-25_CBP with BSBCz_d13_p8_jvl_eval.csv,leaky,1659.85,0.3255,1.3927594530923262,1.515,1.0119001103197098,-0.5354069077014747,10.0
2021-08-25_CBP with BSBCz_d14_p1_jvl_eval.csv,leaky,1889.1,0.02511,1.8290525826160189,2.055,1.824706966253337,-0.2705196921891858,18.0
2021-08-25_CBP with BSBCz_d14_p4_jvl_eval.csv,dead,0.0,130.45038,,,,,
2021-08-25_CBP with BSBCz_d14_p5_jvl_eval.csv,reliable,2231.96,2e-05,2.135218934665185,2.0,2.527956583044777,5.144239670453128,25.0
2021-08-25_CBP with BSBCz_d14_p8_jvl_eval.csv,reliable,2113.49,2e-05,2.125657566775039,2.005,0.9151278641975276,3.320407946449412,9.0
2021-08-25_CBP with BSBCz_d21_p1_jvl_eval.csv,dead,0.0,0.01836,,,,,
2021-08-25_CBP with BSBCz_d21_p4_jvl_eval.csv,dead,0.0,0.00103,,,,,
2021-08-25_CBP with BSBCz_d21_p5_jvl_eval.csv,reliable,943.23,0.00372,1.2076205292803717,1.37,1.892678300832856,-3.00796482520812,19.0
