file,noiseL,offL,pdnoise,LperPD,Eplateau,n_1_10,n_10_100,gain
2021-08-31_GE_d14_p4_jvl_eval.csv,0.10682432911677327,-0.30541119953347123,9.39138198326293e-06,11374.718790818297,0.14,0,4,
2021-08-31_GE_d14_p8_jvl_eval.csv,0.2696106562461322,-0.28493461989358826,2.3702795193816276e-05,11374.635524694142,0.14,0,4,
2021-08-31_GE_d22_p1_jvl_eval.csv,0.32494974432617507,0.08603405627983962,2.4739282527995836e-05,13134.970424402996,0.1,0,4,
2021-08-31_GE_d22_p8_jvl_eval.csv,0.18094779864861685,0.3415094215178584,1.377602627755914e-05,13134.977750686861,0.1,0,4,
2021-08-31_GE_d23_p1_jvl_eval.csv,0.11356191283051068,-0.09972389003898872,9.679488622856066e-06,11732.222357528086,0.18,0,3,
2021-08-31_GE_d23_p4_jvl_eval.csv,0.0753622202414023,-0.680469471689898,6.4235192846289496e-06,11732.232270515484,0.18,0,3,
2021-08-31_GE_d23_p5_jvl_eval.csv,0.1469398671865081,0.04751551979249415,1.252446494754256e-05,11732.227109257816,0.19,0,3,
2021-08-31_GE_d23_p8_jvl_eval.csv,0.10362234840001182,-0.24520295016544164,8.832304342582404e-06,11732.198572509169,0.19,0,3,
2021-08-31_GE_d24_p1_jvl_eval.csv,0.21156344465447635,0.15514865993221896,1.8408837717858478e-05,11492.493328312516,0.17,0,4,
2021-08-31_GE_d24_p5_jvl_eval.csv,0.1466815776623338,0.13043947447993584,1.2763282841373094e-05,11492.46471188862,0.15,0,4,
2021-08-31_GE_d31_p1_jvl_eval.csv,1.0557632213296608,2.7880838487469957,8.14140122392263e-05,12967.831854637188,0.1,0,4,
2021-08-31_GE_d31_p4_jvl_eval.csv,0.48535791439309345,-0.4078419551644807,3.74275039984709e-05,12967.947699983486,0.11,0,4,
2021-08-31_GE_d31_p5_jvl_eval.csv,0.2962504367487835,-0.809844013983003,2.2844942304345813e-05,12967.878526549288,0.10500000000000001,0,4,
2021-08-31_GE_d32_p5_jvl_eval.csv,0.16045648902140372,0.3072725482701087,1.3054899463419853e-05,12290.901930804348,0.12,0,4,
2021-08-31_GE_d32_p8_jvl_eval.csv,0.30078427587201667,0.15302107608026894,2.447221213267543e-05,12290.84948435895,0.12,0,4,
2021-08-31_GE_d33_p1_jvl_eval.csv,0.21449825817913304,0.5683046089880536,1.715443739159703e-05,12503.95179291647,0.22,0,3,
2021-08-31_GE_d33_p4_jvl_eval.csv,0.09482817989401979,-0.033760717333297226,7.583846136507664e-06,12503.969382702673,0.21,0,3,
2021-08-31_GE_d42_p4_jvl_eval.csv,0.2963339691560855,-0.0657346907807987,2.254015084244114e-05,13146.93815615974,0.12,0,4,
2021-08-31_GE_d42_p8_jvl_eval.csv,0.22650931823540066,-0.31224053918133904,1.722901299810552e-05,13146.970070793222,0.10500000000000001,0,5,
2021-08-31_GE_d43_p1_jvl_eval.csv,0.3358097693855696,0.21476681096775102,2.8926633056752385e-05,11609.016809067623,0.18,0,3,
2021-08-31_GE_d43_p5_jvl_eval.csv,0.22614571413020892,-0.12479681235730439,1.9480196496841493e-05,11609.005800679477,0.18,0,3,
2021-09-02_210901_d11_p1_jvl_eval.csv,1.2986490251881562,0.6979264991465512,4.000557949252259e-05,32461.697634723314,4.25,0,1,
2021-09-02_210901_d11_p4_jvl_eval.csv,1.007124399860193,-2.4687127597832346,3.102499888083085e-05,32461.706243040557,4.59,0,1,
2021-09-02_210901_d11_p5_jvl_eval.csv,0.8060080621046369,0.5356176921130689,2.4829525276246967e-05,32461.678309882962,4.535,0,1,
2021-09-02_210901_d11_p8_jvl_eval.csv,0.88028332987706,0.31000910793749936,2.7117609080120288e-05,32461.68669502611,4.53,0,1,
2021-09-02_210901_d12_p4_jvl_eval.csv,1.0995945248287096,1.6605273434987204,3.357333598093715e-05,32752.018609442217,4.64,0,1,
2021-09-02_210901_d12_p5_jvl_eval.csv,0.40160634179921445,-0.6730526491937348,1.226205755799391e-05,32751.953732055215,4.615,0,1,
2021-09-02_210901_d12_p8_jvl_eval.csv,0.656073593815814,-1.365758819615425,2.0031552034804416e-05,32752.010062720023,4.62,0,1,
2021-09-02_210901_d13_p1_jvl_eval.csv,0.24615009492523443,0.4069719100064281,7.590655805367252e-06,32428.040637962396,4.43,0,1,
2021-09-02_210901_d13_p4_jvl_eval.csv,0.8821088858048948,-0.5934331516787356,2.7202040473412282e-05,32428.04107534074,4.45,0,1,
2021-09-02_210901_d13_p5_jvl_eval.csv,0.6558117979301862,0.043777850804233596,2.0223604195757654e-05,32428.037632765634,4.46,0,1,
2021-09-02_210901_d13_p8_jvl_eval.csv,0.7327426665943395,-0.7977297360123672,2.2595960491989613e-05,32428.038049283216,4.42,0,1,
2021-09-02_210901_d14_p1_jvl_eval.csv,0.6174430226623151,0.15037046430087433,1.929888439199298e-05,31993.715808696666,4.45,0,1,
2021-09-02_210901_d14_p4_jvl_eval.csv,0.9596007431730429,0.7054614817163202,2.999341131352388e-05,31993.717991669848,4.355,0,1,
2021-09-02_210901_d14_p5_jvl_eval.csv,0.5814947046722869,-0.5023014932199446,1.8175273190671868e-05,31993.725682799017,4.455,0,1,
2021-09-02_210901_d14_p8_jvl_eval.csv,0.8698580311958966,0.43191502389340525,2.7188411542828724e-05,31993.705473585575,4.42,0,1,
2021-09-02_210901_d21_p4_jvl_eval.csv,0.7801268847589687,0.9868138787315148,2.355842542030396e-05,33114.55968897701,4.484999999999999,0,1,
2021-09-02_210901_d21_p5_jvl_eval.csv,0.9400536674206961,-0.14570398943151164,2.8387940184680436e-05,33114.54305261628,4.365,0,1,
2021-09-02_210901_d22_p1_jvl_eval.csv,1.064648798523424,-1.6551845184599114,3.2096708526340394e-05,33170.030430058345,4.45,0,1,
2021-09-02_210901_d22_p4_jvl_eval.csv,0.8744060322985733,0.9884666100347778,2.6361335322779083e-05,33170.0204709657,4.585,0,1,
2021-09-02_210901_d22_p5_jvl_eval.csv,0.6571407682963588,0.6667179722795078,1.9811269520149384e-05,33170.04837211481,4.025,0,1,
2021-09-02_210901_d22_p8_jvl_eval.csv,0.7082681812798968,0.786130309816518,2.1352637961830246e-05,33170.05526651975,4.53,0,1,
2021-09-02_210901_d23_p1_jvl_eval.csv,0.727957762246352,-2.0237003952283046,2.2158516280428162e-05,32852.27914331663,4.4,0,1,
2021-09-02_210901_d23_p4_jvl_eval.csv,0.9496210891505068,-0.07391762745292695,2.8905790461812703e-05,32852.27886796753,4.51,0,1,
