theta_deg,ITO50 + chirped DBR (air): 1-R (%),ITO50 + chirped DBR + Ag: 1-R (%),Ag: 1-R (%),ITO50 + DBR + Ag (re-opt): 1-R (%),LiF only + Ag (no ITO50): 1-R (%),ITO50 + chirped DBR (air): T (%),ITO50 + chirped DBR + Ag: T (%),Ag: T (%),ITO50 + DBR + Ag (re-opt): T (%),LiF only + Ag (no ITO50): T (%),cos.sin (norm)
6.75,5.599587189865171,4.457600253100386,3.7426348274376235,3.1568954267109928,4.009272928769956,2.6891717783887,0.014011753643390095,0.02347022579972784,0.0044231846852612056,0.01848166074849389,0.23345425307851883
7.250000000000001,5.5407044564244705,4.82127341262775,3.7425284866658464,3.1506087911995793,4.011669945042996,2.63540169470412,0.017327091153600746,0.023426613801815262,0.00440520089218202,0.018453188957959835,0.2503895381208166
7.75,5.479743381709518,4.338162752851334,3.7425445441438714,3.1438950164882447,4.0140970417598725,2.579955774695707,0.012888841580582388,0.023380852280435075,0.004386299263467996,0.018422518051221144,0.2672485520842249
8.25,5.417066659085452,4.579288760789161,3.7427095399379113,3.136763786433535,4.016523630234773,2.523198152941413,0.015151572444080223,0.023333138285313734,0.0043665576704206704,0.018389609971305048,0.2840261595497735
8.75,5.353033132350644,4.39563931788817,3.7430515986643718,3.1292271116803527,4.018916728541248,2.4654871094543274,0.013534834854199887,0.023283680681882104,0.004346059849083661,0.01835442337396064,0.3007172498956999
9.25,5.2879921511742465,4.37504869076993,3.743600365779407,3.1212996291982398,4.0212409461443865,2.407169034629862,0.01330409652017181,0.0232326997255845,0.004324895524372634,0.01831691373115729,0.31731673885419487
9.750000000000002,5.222277994970788,4.531053846560202,3.744386932291864,3.112998907377425,4.023458486360416,2.3485724542574378,0.014929748430804477,0.02318042656488056,0.004303160535371832,0.01827703352409824,0.3338195700601185
10.25,5.156204627501518,4.092674196987893,3.745443746993386,3.1043457523851457,4.0255291709055765,2.2900023837283805,0.010867648443217977,0.023127102668330617,0.004280956959085261,0.01823473254263685,0.35022071659121895
10.75,5.0900610661508825,4.409652741095961,3.7468045153775194,3.09536451082555,4.027410491234684,2.2317353032177256,0.013849311482665253,0.02307297917186014,0.004258393229570674,0.018189958309180444,0.36651518249938153
11.25,5.024107645170502,4.143445617510352,3.7485040845145985,3.0860833630922166,4.029057691803669,2.174015041926273,0.01143561594764022,0.023018316143129807,0.004235584249085569,0.01814265664622673,0.38269800433244244
11.75,4.958573410984911,4.161935669548853,3.750578313260399,3.07653460117753,4.030423890803209,2.117049819081322,0.011807703204741424,0.022963381760888867,0.0042126514876617,0.018092772407524202,0.398764252646105
12.250000000000002,4.893654799711348,4.043448370766651,3.7530639273007935,3.0667548841341423,4.031460244280885,2.0610106017482464,0.010758078718118423,0.022908451408246027,0.004189723067426483,0.018040250393392705,0.41470903350549543
12.75,4.829515618113492,4.158013048013778,3.7559983586721644,3.056785463903866,4.032116159871121,2.006030810017406,0.011779277160668985,0.022853806679940886,0.004166933828032797,0.01798503647087412,0.43052748997590345
13.25,4.7662882102722905,4.134900582057913,3.759419569542652,3.046672373869432,4.032339566552596,1.9522072599030227,0.011747027206089573,0.022799734304918204,0.004144425369769983,0.017927078918982722,0.44621480360225135
13.75,4.704075575600416,3.9739244586942974,3.763365860191998,3.0364665722839206,4.0320772469143895,1.8996021162667773,0.010305652000339775,0.02274652498678228,0.004122346071332228,0.01786633001825394,0.46176619587684214
14.250000000000002,4.642954106642444,3.8613157656895805,3.7678756612834237,3.0262240327223493,4.031275238291842,1.8482455300808263,0.009440092397925834,0.022694472166010875,0.004100851079835804,0.017802747901897262,0.4771769296949394
14.749999999999998,4.5829765288470545,3.7532547524969937,3.77298731067685,3.0160057739172417,4.02987930878092,1.798138547817657,0.008663520372529494,0.022643870709121834,0.004080102271518098,0.017736298682992403,0.49244231079773465
15.25,4.524174637157243,3.702852636310395,3.7787388151863333,3.00587782181111,4.0278355135050115,1.749255893353192,0.008307541584173149,0.02259501553128576,0.004060268182626133,0.0176669588681713,0.5075576892022653
15.75,4.46656168119413,3.603120369017885,3.785167597831961,2.9959110974096466,4.025090835534678,1.7015484794972577,0.007453069898424438,0.02254820016014768,0.00404152391130784,0.01759471806296514,0.5225184606178431
16.25,4.410134711809193,3.5362761207041995,3.7923102312778325,2.986181225062495,4.021593914496257,1.6549459656864731,0.006911701410447026,0.022503715249842463,0.0040240509928438075,0.017519581967347077,0.5373200678485668
16.75,4.354877770684198,3.572854643112717,3.800202158278461,2.9767682571379686,4.017295864099946,1.6093602440859056,0.007431571399177721,0.022461847055352563,0.004008037252277352,0.017441575651899924,0.5519580021814874
17.250000000000004,4.300767639455985,3.5847207538639805,3.8088774000786163,2.9677563126833575,4.012151177532341,1.5646915700156767,0.007767409497312094,0.02242287587845421,0.003993676640381062,0.01736074709546785,0.5664278047600064
17.75,4.2477843314655805,3.483732533451308,3.818368253823587,2.9592331295461367,4.006118716867029,1.5208395177489102,0.006817238077731792,0.022387074497529347,0.0039811690608936075,0.017277170954186793,0.5807250679420858
18.25,4.1959266734137515,3.3741775531880713,3.8287049801412154,2.9512895315330483,3.999162779348188,1.4777190907468387,0.005815861788189722,0.022354706594487544,0.00397072019901457,0.017190952519599918,0.5948454366428603
18.75,4.145229769407923,3.2137473570089155,3.839915482153574,2.944018814439512,3.9912542296189195,1.4352787362357289,0.004516630689626999,0.022326025192953,0.003962541363194672,0.017102231810448953,0.6087846096612363
19.25,4.095780966244769,3.24474337761331,3.852024977268332,2.9375160571177354,3.9823716827628157,1.3935168499019417,0.004847937184848945,0.022301271122736124,0.003956849354234608,0.017011187729122888,0.6225383409900802
19.75,4.047735273558206,3.16769746715549,3.8650556631890938,2.931877366073839,3.9725027185050785,1.3524977425744156,0.004335079033740472,0.022280671526436983,0.003953866377539277,0.016918042200223925,0.6361024411095945
20.25,4.001330394189452,3.2478323272957974,3.879026379671755,2.927199064291821,3.961645102231618,1.3123672619229185,0.005072193788912555,0.022264438424826952,0.003953820015998842,0.01682306419600295,0.649472778263484
20.75,3.956890402294736,3.1581098062094046,3.8939522676412763,2.9235768369663004,3.9498079838307514,1.2733570888446497,0.0044801590984523045,0.02225276735842609,0.003956943282327016,0.01672657354238564,0.6626452797175305
21.25,3.9148031280618514,3.2076389961249654,3.9098444273707518,2.9211048484794726,3.9370130409951214,1.235762724187902,0.004933953121676419,0.02224583612343103,0.003963474770735652,0.016628944390915026,0.675615933000186
21.750000000000004,3.8754782841002116,3.126589922975525,3.9267095775076477,2.9198748461808344,3.9232955298323526,1.1999022747033836,0.004326132968554327,0.02224380362083517,0.0039736589285351365,0.016530608237194665,0.6883807871248111
22.25,3.8393175975061027,3.092837181819362,3.944549716809841,2.919975267234119,3.9087052027504856,1.1660874933475847,0.00405259925697375,0.022246808838186166,0.00398774646861331,0.01643205636632854,0.7009359537931834
22.75,3.8067138904410998,3.1164987767675028,3.9633617905182037,2.9214903649190376,3.8933070519466804,1.1346240742018567,0.004176506581422854,0.02225496998390618,0.004005994943770281,0.016333841611322432,0.7132776085799115
23.25,3.7780647303656387,3.02492658226095,3.9831373633373737,2.9244993702719215,3.8771818367688615,1.1058266309086326,0.003431242482553044,0.022268383794396718,0.004028669503598091,0.016236579322142588,0.7254019920973908
23.75,3.7537830369222354,2.993613374258955,4.003862301014393,2.9290757038016495,3.8604263550331828,1.0800304845402913,0.0031601469871881177,0.022287125034196772,0.0040560438540284864,0.016140947461525963,0.7373054111409502
24.25,3.7343011087932143,3.024812486965134,4.025516462487635,2.9352862502328465,3.84315342229185,1.0575965218575851,0.0033649649089148637,0.02231124620917469,0.004088401438871324,0.016047685768704915,0.7489842398138382
24.75,3.720069276081565,3.0833318742904474,4.048073404521581,2.943190706838593,3.825491529178416,1.0389102675145419,0.003873395305670238,0.02234077751201685,0.004126036861672,0.015957593963460383,0.7604349206317057
25.25,3.7115523054984445,3.127693027818262,4.071500100643484,2.952841012989134,3.807584155300927,1.0243784698375342,0.0045182589310390564,0.022375727018011663,0.004169257565066169,0.015871528999310557,0.7716539656062502
25.75,3.709230606788219,3.2301881532623797,4.095756676057211,2.9642808651497914,3.7895887285377343,1.014430449066365,0.005779462974959056,0.022416081147166055,0.004218385783535139,0.015790401414552964,0.7826379573076914
26.250000000000004,3.713607136049577,3.2038860729745147,4.120796160037406,2.977545317839228,3.7716752306723436,1.0095252039593008,0.005444357121235723,0.02246180540583134,0.00427376078408925,0.015715170871116707,0.7933835499057524
26.75,3.725214999961899,3.0878105655352597,4.1465642571195085,2.9926604671877346,3.754024463561039,1.0101595162717418,0.0040365772978982,0.022512845416954554,0.004335741407942736,0.01564684101104348,0.8038874701888331
27.25,3.7446268721960974,3.066590529445005,4.172999138223873,3.0096432099527117,3.736826003774186,1.016878446325222,0.0037101797516352216,0.022569128242356736,0.004404708924684904,0.015586453795781791,0.8141465185610617
27.75,3.772470242060027,3.1863503673611975,4.200031252725521,3.028501067449982,3.7202758870718466,1.0302920700750484,0.005025579703495289,0.022630563992358202,0.0044810702087454655,0.01553508352093163,0.8241575700169219
28.25,3.809445002167667,3.3917830640235405,4.227583162453743,3.0492320611798527,3.7045740762664057,1.0510942405535184,0.0073638644383003694,0.022697047706500644,0.004565261245944847,0.015493830715022095,0.8339175750931614
28.750000000000007,3.8563370708908464,3.2482441668461344,4.255569398746531,3.071824625294133,3.6899217760779606,1.0800762918030453,0.0054799331421537785,0.022768461472285704,0.004657750975274406,0.015463816131643804,0.8434235607976867
29.25,3.914023905744965,3.2067735154048074,4.2838963440730415,3.0962575407345723,3.6765186656590543,1.1181314465232328,0.0047973897837728565,0.022844676723973705,0.004759045467096969,0.015446175025964,0.8526726315151653
29.75,3.983471637274834,3.444079229538298,4.3124621404704655,3.122499877014727,3.664560122872445,1.166250697939408,0.007510025681577338,0.022925556626189364,0.004869692432471882,0.015442051865139863,0.8616619698890592
30.25,4.065725494381907,3.5015460335983675,4.341156628226428,3.1505109302020378,3.654234513709183,1.22551315657572,0.00797765316601952,0.023010958390513807,0.004990286047160468,0.015452595552326682,0.870388837679818
30.749999999999996,4.1618952572117,3.3660041617840935,4.36986131998774,3.1802401495083976,3.6457206153090906,1.2970727136567946,0.006006337132912903,0.023100735286666493,0.005121472054447871,0.015478955138779258,0.8788505765989735
31.250000000000004,4.273145655372238,3.6259190927699256,4.398449417899498,3.2116270497586163,3.6391852321094182,1.3821492003725222,0.008994702816552642,0.023194737976419657,0.005263953077174151,0.015522275847019344,0.8870446091188803
31.749999999999996,4.400698839984786,3.6450777134652017,4.4267858845615775,3.244601112624738,3.6347810522636115,1.4820288423142849,0.008969553569701366,0.023292814591365764,0.005418494011160369,0.015583695012149812,0.8949684392578553
32.25000000000001,4.5458479883362015,3.5603473271367014,4.45472758257242,3.2790816857640808,3.632644776495613,1.5980733869907497,0.007576940861879414,0.02339480865252791,0.005585927272465593,0.015664337237666786,0.9026196533404786
32.75,4.709982888644671,3.895347824070552,4.482123502173904,3.3149778959073304,3.6328955350609182,1.7317414609965947,0.011565104788705576,0.023500553421897212,0.0057671575006352305,0.015765307604661088,0.9099959207328214
33.25000000000001,4.894581372800545,3.693337668250154,4.508815101844557,3.3521885996567025,3.6356335916638027,1.8845787376776109,0.008580831269180736,0.0236098604708121,0.005963165029674417,0.015887681080390237,0.9170949945523804
33.75,5.101176961020797,3.9012912301263754,4.534636792243921,3.3906024043743197,3.640939317226366,2.058188639855082,0.010953935113406728,0.02372249896004985,0.006175006941986612,0.01603248519116488,0.9239147123525001
34.25,5.331345465512277,3.8789290754933816,4.559416599022029,3.430097800919718,3.648872402370483,2.254222143910663,0.010282436005546791,0.02383816003210358,0.0064038136671257006,0.01620067128952234,0.9304529967810745
34.75,5.586667809560659,3.915384721682079,4.582977043557409,3.4705434594873226,3.659471266048224,2.4743411407833498,0.010373730868885387,0.023956397260316373,0.00665077760734039,0.016393066886080568,0.936707856213329
35.24999999999999,5.868637712155913,4.000536199573214,4.605136280857805,3.5117987480502135,3.6727526089053804,2.720126315540193,0.011117046142226849,0.024076528284867057,0.006917127672939464,0.016610296680287313,0.9426773853584878
35.75,6.178488617805429,3.9574365589749734,4.6257095276830755,3.553714537634662,3.6887110523302424,2.992905878611316,0.010086984890927369,0.024197472751929593,0.007204078968001191,0.016852651527511475,0.9483597658401457
36.25,6.516901486972072,4.032015778721417,4.644510796448366,3.596134356207983,3.7073187940758645,3.293466401479029,0.010652846089662276,0.024317483949537942,0.007512738390717316,0.0171198695835519,0.9537532667501614
36.75000000000001,6.883558001613318,3.9979921495280686,4.661354912829165,3.638895937573725,3.7285251911821486,3.6216082440706883,0.009675703030593496,0.024433699147686085,0.007843931007739868,0.01741076622371339,0.9588562451759095
37.25,7.276494750308327,4.014239133625521,4.676059720553925,3.681833173339161,3.7522561354783686,3.9754989700355603,0.009372587000365829,0.024541372213948757,0.008197881197946193,0.017722596483029755,0.9636671467007281
37.75000000000001,7.69117000920497,4.026045903244083,4.688448231552491,3.7247783954604534,3.7784129853168875,4.350733660812354,0.008970833143052102,0.024632530290484574,0.008573620167581248,0.018049928297102443,0.9681845058774083
38.25,8.119089158108519,3.9895798763881225,4.698350187707211,3.76756475229472,3.806870591655978,4.7389408126603,0.007842069560097002,0.024693541931682838,0.008967858862271505,0.018382583290548357,0.9724069466745845
38.75,8.545740205653075,4.032228568146278,4.705601878267318,3.8100280917381997,3.8374734441227956,5.125669833302703,0.007828549859375929,0.024700517965576842,0.009372765800846544,0.018701706583881775,0.976333182895886
39.25,8.947315664380648,3.9925966779930806,4.710041613461465,3.852006960951506,3.870027728005823,5.487014677490995,0.006591240924507346,0.024610103183361407,0.009771358767737482,0.018971830237059714,0.9799620185717252
39.74999999999999,9.28479406340849,4.010957430353437,4.711494513450251,3.8933372586928243,3.904283817824895,5.783516970419332,0.006161907114376298,0.02433958442304086,0.01012725104896552,0.019123597256415537,0.9832923483236025
40.25,9.491212219405204,4.014682500361513,4.7097290525182505,3.933831868737746,3.939893850962056,5.947102507233015,0.005466474332655261,0.023719132370318575,0.010359423765722596,0.019012020916033604,0.9863231577008135
40.75,9.438142261731922,4.016424980560826,4.704326358194832,3.9732126982926457,3.9762924365591403,5.846774798952778,0.0046497087981595304,0.02235737313130903,0.010269855229836658,0.01829847470289164,0.9890535234894618
41.25000000000001,8.81431430271158,4.034818750124698,4.694185144727978,4.0108426673030735,4.012256489534729,5.164558136375015,0.0037683812911687656,0.01913986162031539,0.009270543248150496,0.016009895688068387,0.9914826139936788
41.75,5.97341214378935,4.054251263036534,4.673141121493762,4.04336550908624,4.0420733787101035,2.217870157361322,0.001468505481719036,0.007749904565340066,0.003974409634633822,0.006632277033837763,0.9936096892889653
42.25000000000001,3.8600370591945015,4.082002717228971,4.650603357246571,4.075155113282043,4.073130757926979,0.0,0.0,0.0,0.0,0.0,0.9954341014475814
42.75,3.9073569623164257,4.119764261279294,4.633728985901656,4.110455341724864,4.111452395849355,0.0,0.0,0.0,0.0,0.0,0.9969552947359096
43.25,3.9614071561479323,4.213920316103092,4.721758656422914,4.25015054966907,4.251124730519474,0.0,0.0,0.0,0.0,0.0,0.9981728057837387
43.75,4.019525501389841,4.3022170146065495,5.123393437337936,4.489231152952085,4.6972526844197695,0.0,0.0,0.0,0.0,0.0,0.999086263725409
44.24999999999999,4.080651373770941,4.312591541601398,4.839238474271683,4.353443822758864,4.461439337127569,0.0,0.0,0.0,0.0,0.0,0.9996953903127825
44.75,4.144297351604594,4.334310407922525,4.609562599556757,4.284260998754671,4.320376249122501,0.0,0.0,0.0,0.0,0.0,1.0
45.25,4.208620691467702,4.384645047379395,4.569807736265999,4.311503627846376,4.34252990205353,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
45.75000000000001,4.270702064153244,4.443303159918105,4.542348528680449,4.346117655384743,4.374530391961773,0.0,0.0,0.0,0.0,0.0,0.9996953903127824
46.25,4.32712738719833,4.501909867329852,4.518309521460165,4.38361679884607,4.407664942011055,0.0,0.0,0.0,0.0,0.0,0.9990862637254089
46.75000000000001,4.375389964535105,4.557780137190817,4.496377726086391,4.423324931492336,4.439993819921537,0.0,0.0,0.0,0.0,0.0,0.9981728057837388
47.25,4.4152748023106785,4.609950130732709,4.476410299637234,4.465145998038129,4.470639648421907,0.0,0.0,0.0,0.0,0.0,0.9969552947359098
47.75000000000001,4.449267721494663,4.65912533187062,4.45858939174281,4.509107909458672,4.499048955521917,0.0,0.0,0.0,0.0,0.0,0.9954341014475814
48.25,4.481223485714322,4.709524120713902,4.4431985737606405,4.555231247902701,4.524810709852247,0.0,0.0,0.0,0.0,0.0,0.9936096892889653
48.74999999999999,4.513833714167501,4.762888421862259,4.430541441881481,4.603474983652165,4.547604181312442,0.0,0.0,0.0,0.0,0.0,0.9914826139936787
