series,n_o,n_e,n_SPP_Ag,d_ETL_nm,eta_sub,spp,abs,wg
n_o=1.80,1.8000,1.6200,1.8277,60.0,0.684783,0.303640,0.011576,0.000000
n_o=1.80,1.8000,1.6200,1.8277,100.0,0.793181,0.190119,0.016701,0.000000
n_o=1.80,1.8000,1.6200,1.8277,150.0,0.870388,0.107879,0.021733,0.000000
n_o=1.80,1.8000,1.6400,1.8512,60.0,0.673456,0.315482,0.011062,0.000000
n_o=1.80,1.8000,1.6400,1.8512,100.0,0.788574,0.195733,0.015693,0.000000
n_o=1.80,1.8000,1.6400,1.8512,150.0,0.873794,0.106170,0.020035,0.000000
n_o=1.80,1.8000,1.6600,1.8748,60.0,0.662769,0.326616,0.010615,0.000000
n_o=1.80,1.8000,1.6600,1.8748,100.0,0.784654,0.200398,0.014948,0.000000
n_o=1.80,1.8000,1.6600,1.8748,150.0,0.876501,0.104441,0.019058,0.000000
n_o=1.80,1.8000,1.6800,1.8984,60.0,0.652578,0.337201,0.010221,0.000000
n_o=1.80,1.8000,1.6800,1.8984,100.0,0.781055,0.204573,0.014372,0.000000
n_o=1.80,1.8000,1.6800,1.8984,150.0,0.878530,0.103041,0.018429,0.000000
n_o=1.80,1.8000,1.7000,1.9220,60.0,0.642782,0.347348,0.009870,0.000000
n_o=1.80,1.8000,1.7000,1.9220,100.0,0.777594,0.208495,0.013911,0.000000
n_o=1.80,1.8000,1.7000,1.9220,150.0,0.880012,0.101993,0.017994,0.000000
n_o=1.80,1.8000,1.7200,1.9457,60.0,0.633307,0.357140,0.009553,0.000000
n_o=1.80,1.8000,1.7200,1.9457,100.0,0.774181,0.212288,0.013531,0.000000
n_o=1.80,1.8000,1.7200,1.9457,150.0,0.881068,0.101252,0.017679,0.000000
n_o=1.80,1.8000,1.7400,1.9694,60.0,0.624100,0.366634,0.009265,0.000000
n_o=1.80,1.8000,1.7400,1.9694,100.0,0.770767,0.216021,0.013211,0.000000
n_o=1.80,1.8000,1.7400,1.9694,150.0,0.881791,0.100766,0.017443,0.000000
n_o=1.80,1.8000,1.7600,1.9931,60.0,0.615121,0.375877,0.009002,0.000000
n_o=1.80,1.8000,1.7600,1.9931,100.0,0.767330,0.219733,0.012936,0.000000
n_o=1.80,1.8000,1.7600,1.9931,150.0,0.882251,0.100487,0.017262,0.000000
n_o=1.80,1.8000,1.7800,2.0169,60.0,0.606341,0.384901,0.008758,0.000000
