device,n_substrate,theta_horizontal,eta_sub,spp,wg,abs,Aprime,p_escape,eta_ext,EQE
proposed,1.80,0.80,0.964264,0.020097,0.000000,0.015640,0.030993,0.305000,0.934034,0.900655
proposed,1.80,0.81,0.964871,0.019508,0.000000,0.015621,0.030993,0.305000,0.934034,0.901223
proposed,1.80,0.82,0.965479,0.018919,0.000000,0.015602,0.030993,0.305000,0.934034,0.901791
proposed,1.80,0.83,0.966087,0.018329,0.000000,0.015584,0.030993,0.305000,0.934034,0.902359
proposed,1.80,0.84,0.966696,0.017740,0.000000,0.015565,0.030993,0.305000,0.934034,0.902927
proposed,1.80,0.85,0.967304,0.017150,0.000000,0.015546,0.030993,0.305000,0.934034,0.903495
proposed,1.80,0.86,0.967913,0.016560,0.000000,0.015528,0.030993,0.305000,0.934034,0.904064
proposed,1.80,0.87,0.968522,0.015969,0.000000,0.015509,0.030993,0.305000,0.934034,0.904633
proposed,1.80,0.88,0.969131,0.015378,0.000000,0.015490,0.030993,0.305000,0.934034,0.905202
proposed,1.80,0.89,0.969741,0.014788,0.000000,0.015471,0.030993,0.305000,0.934034,0.905771
proposed,1.80,0.90,0.970351,0.014197,0.000000,0.015453,0.030993,0.305000,0.934034,0.906341
proposed,1.80,0.91,0.970961,0.013605,0.000000,0.015434,0.030993,0.305000,0.934034,0.906911
proposed,1.80,0.92,0.971571,0.013014,0.000000,0.015415,0.030993,0.305000,0.934034,0.907481
proposed,1.80,0.93,0.972182,0.012422,0.000000,0.015397,0.030993,0.305000,0.934034,0.908051
proposed,1.80,0.94,0.972792,0.011830,0.000000,0.015378,0.030993,0.305000,0.934034,0.908622
proposed,1.80,0.95,0.973403,0.011237,0.000000,0.015359,0.030993,0.305000,0.934034,0.909192
proposed,1.80,0.96,0.974015,0.010645,0.000000,0.015340,0.030993,0.305000,0.934034,0.909763
proposed,1.80,0.97,0.974626,0.010052,0.000000,0.015322,0.030993,0.305000,0.934034,0.910334
proposed,1.80,0.98,0.975238,0.009459,0.000000,0.015303,0.030993,0.305000,0.934034,0.910906
proposed,1.80,0.99,0.975850,0.008866,0.000000,0.015284,0.030993,0.305000,0.934034,0.911477
proposed,1.80,1.00,0.976462,0.008272,0.000000,0.015265,0.030993,0.305000,0.934034,0.912049
