case,k,U_k (power at pass k),p_k,A'_k,eta_ext^(k),fraction >60 deg,cumulative eta_ext,p (cos.sin),A' (cos.sin),eq3
Ag n_sub 1.5,57,3.411359203007826e-05,0.05759175284898709,0.05441213899649644,1.964661560987443e-06,0.9296304384631515,0.9112386382389722,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,58,3.039663712697308e-05,0.05703327450191882,0.05442679543398721,1.7336197491978726e-06,0.9301934268565889,0.9112403718587214,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,59,2.710028695538152e-05,0.05651684014587151,0.05444028684274116,1.5316225857645442e-06,0.9307140434297326,0.9112419034813072,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,60,2.4174280400962102e-05,0.05603978062318313,0.05445269742479686,1.3547213703932316e-06,0.9311949762103587,0.9112432582026776,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,61,2.1574801482415067e-05,0.05559951701885477,0.054464106615375485,1.1995485421999498e-06,0.9316388227106084,0.9112444577512198,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,62,1.9263584240512247e-05,0.05519357152783246,0.05447458914189007,1.0632260146611388e-06,0.9320480789061106,0.9112455209772344,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,63,1.7207151978508408e-05,0.05481957528922653,0.05448421512132784,9.432887633990049e-07,0.9324251312806793,0.9112464642659979,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,64,1.537616932357153e-05,0.05447527359475338,0.05449305018874151,8.376210307408132e-07,0.932772251525316,0.9112473018870286,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,65,1.3744889203317065e-05,0.0541585288567584,0.05450115565021363,7.444029785507942e-07,0.9330915935023327,0.9112480462900072,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,66,1.22906798244566e-05,0.05386732169297615,0.05450858865436614,6.620660039293754e-07,0.9333851921138842,0.9112487083560111,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,67,1.0993619214648818e-05,0.05359975045327875,0.05451540237718344,5.89255246483547e-07,0.9336549637463583,0.9112492976112576,0.4273761614677933,0.02755034248112953,0.9644005268479652
