ETL,d_ETL,Theta,eta_sub,spp,wg,abs,Aprime_Psub,eta_ext,EQE
B3PyMPM,250.0,0.8,(0.9801438329207093+0j),(0.005310581124441449+0j),(8.07374934820711e-05+0j),(0.014464848461367221+0j),(0.030303412565105048+0j),0.9072080036004172,(0.8891943299052575+0j)
B3PyMPM,275.0,0.667,(0.9791403751027264+0j),(0.005287625269261967+0j),(8.045541965576178e-05+0j),(0.015491544208355924+0j),(0.030517880112303164+0j),0.908286895992373,(0.8893403720428632+0j)
B3PyMPM,275.0,0.8,(0.9806683568557953+0j),(0.0035327558412733785+0j),(9.405789040115149e-05+0j),(0.015704829412530104+0j),(0.030992172878465563+0j),0.904025388707272,(0.8865490924994821+0j)
B3PyMPM,300.0,0.667,(0.9804662260412675+0j),(0.0033762712209026375+0j),(8.848243340672626e-05+0j),(0.016069020304423136+0j),(0.030812528894803126+0j),0.9069927437751819,(0.8892757525360669+0j)
B3PyMPM,300.0,0.8,(0.9811547714879737+0j),(0.0022845517405227704+0j),(0.00010458013335015151+0j),(0.016456096638153284+0j),(0.0314616039817146+0j),0.9024600556718056,(0.8854529896996945+0j)
B3PyMPM,325.0,0.667,(0.9821469359564259+0j),(0.0020457843688635852+0j),(8.990907624823274e-05+0j),(0.015717370598462253+0j),(0.030711915392818923+0j),0.907900424195289,(0.8916916197769424+0j)
B3PyMPM,325.0,0.8,(0.9824371369343297+0j),(0.0013839447611311462+0j),(0.00010591810973791614+0j),(0.0160730001948014+0j),(0.03139169786701801+0j),0.9038344134152411,(0.8879604933783887+0j)
B3PyMPM,350.0,0.667,(0.9836681456150459+0j),(0.0012422950351297134+0j),(8.808908464057831e-05+0j),(0.01500147026518373+0j),(0.030018218969393162+0j),0.9099210892216977,(0.89506039049073+0j)
B3PyMPM,350.0,0.8,(0.9838429484632023+0j),(0.0008345377900211906+0j),(0.0001025713733940481+0j),(0.015219942373382344+0j),(0.03057008256163829+0j),0.9065637365899963,(0.8919163395765198+0j)
B3PyMPM,375.0,0.667,(0.9844067090175179+0j),(0.0008192325903522299+0j),(8.898230913733832e-05+0j),(0.014685076082992396+0j),(0.029344757460265103+0j),0.9111213813148737,(0.8969140004956699+0j)
B3PyMPM,375.0,0.8,(0.9845183431706924+0j),(0.0005495728955586628+0j),(0.00010281242715551687+0j),(0.014829271506593461+0j),(0.029775134488762345+0j),0.9081163027541462,(0.894057157793807+0j)
B3PyMPM,400.0,0.667,(0.9842631728076164+0j),(0.000611120714968707+0j),(9.542902517501069e-05+0j),(0.015030277452239869+0j),(0.029203410402652952+0j),0.9102316748212911,(0.8959075162495945+0j)
B3PyMPM,400.0,0.8,(0.9842589769843678+0j),(0.00041387456880630143+0j),(0.00011046930862577195+0j),(0.015216679138200219+0j),(0.029604613108088818+0j),0.907028585808358,(0.8927510279633123+0j)
3TPYMB,50.0,0.667,(0.6374063451628016+0j),(0.3543291248993036+0j),(2.6782201766674767e-05+0j),(0.008237747736128122+0j),(0.029085903814379033+0j),0.9194892625766664,(0.5860882902754325+0j)
3TPYMB,50.0,0.8,(0.7455859179463764+0j),(0.2459815188851928+0j),(3.240685979889034e-05+0j),(0.008400156308631952+0j),(0.02847322707859634+0j),0.9245013449248382,(0.689295183898445+0j)
3TPYMB,75.0,0.667,(0.7466645212315228+0j),(0.24405934100272897+0j),(2.5624046051908893e-05+0j),(0.009250513719696138+0j),(0.028747744746929205+0j),0.9184875950766903,(0.6858021004350298+0j)
3TPYMB,75.0,0.8,(0.833318414441244+0j),(0.15763883655423255+0j),(2.924192416048595e-05+0j),(0.009013507080362824+0j),(0.027862918851154883+0j),0.9245459510395311,(0.770441165998334+0j)
3TPYMB,100.0,0.667,(0.822949694786242+0j),(0.16659527694296558+0j),(2.6325250566881296e-05+0j),(0.010428703020225529+0j),(0.03569732018181593+0j),0.9036320014500129,(0.7436436797923691+0j)
3TPYMB,100.0,0.8,(0.8855402045539156+0j),(0.1044763155160357+0j),(2.94773541435264e-05+0j),(0.009954002575905122+0j),(0.03212464410497495+0j),0.9150734572488661,(0.8103343365140196+0j)
3TPYMB,125.0,0.667,(0.8622539453672949+0j),(0.1257482768005534+0j),(2.877796658224888e-05+0j),(0.011968999865569329+0j),(0.03876740305436144+0j),0.9017663807215068,(0.7775516195767055+0j)
3TPYMB,125.0,0.8,(0.9091239740025842+0j),(0.07941384273194135+0j),(3.263154419477956e-05+0j),(0.01142955172127962+0j),(0.03457699998294583+0j),0.9120438340439769,(0.8291609148706136+0j)
3TPYMB,150.0,0.667,(0.8860638441827637+0j),(0.10052800843543275+0j),(3.103354884240463e-05+0j),(0.013377113832961194+0j),(0.0351959676814928+0j),0.909757696401753,(0.806103401748593+0j)
3TPYMB,150.0,0.8,(0.9217664380992294+0j),(0.0652255002776655+0j),(3.6272025951409886e-05+0j),(0.012971789597153609+0j),(0.032894275326460276+0j),0.9149417822795749,(0.8433626277200045+0j)
3TPYMB,175.0,0.667,(0.9141496151059408+0j),(0.0722523537620033+0j),(3.0076693130517254e-05+0j),(0.01356795443892528+0j),(0.03165315472575003+0j),0.9176913495863017,(0.8389071940103691+0j)
3TPYMB,175.0,0.8,(0.9391350212982091+0j),(0.04756695986112653+0j),(3.57445256485654e-05+0j),(0.013262274315015938+0j),(0.03078315168576784+0j),0.9191371273214977,(0.8631938656430495+0j)
3TPYMB,200.0,0.667,(0.9404197131489009+0j),(0.04683127698266331+0j),(2.6803124383687673e-05+0j),(0.012722206744051785+0j),(0.029243329183731293+0j),0.9233132750482601,(0.868302005267457+0j)
3TPYMB,200.0,0.8,(0.957122166434634+0j),(0.030519350354315328+0j),(3.1574613708157765e-05+0j),(0.012326908597342447+0j),(0.028937687300721104+0j),0.9231002850057489,(0.8835197446211305+0j)
3TPYMB,225.0,0.667,(0.958261427731369+0j),(0.029851037532476282+0j),(2.402491953760311e-05+0j),(0.011863509816616916+0j),(0.027444403471641565+0j),0.9275404278177074,(0.8888262146391611+0j)
3TPYMB,225.0,0.8,(0.9694953736236054+0j),(0.019118953411221596+0j),(2.7838145937047372e-05+0j),(0.011357834819235878+0j),(0.027189482747188132+0j),0.9269054957968546,(0.8986305899613447+0j)
3TPYMB,250.0,0.667,(0.9687993599162614+0j),(0.01972629818405537+0j),(2.2767233631355528e-05+0j),(0.011451574666051983+0j),(0.02627354975192575+0j),0.9307895816388565,(0.901748350908449+0j)
