wavelength_nm,n,k
5.690000000000000000e+02,2.950216000000000172e+00,2.103670999999999847e+00
5.700000000000000000e+02,2.957740999999999953e+00,2.095855999999999941e+00
5.710000000000000000e+02,2.965164999999999829e+00,2.088045000000000151e+00
5.720000000000000000e+02,2.972485999999999962e+00,2.080236999999999892e+00
5.730000000000000000e+02,2.979705000000000048e+00,2.072433999999999887e+00
5.740000000000000000e+02,2.986820999999999948e+00,2.064636000000000138e+00
5.750000000000000000e+02,2.993832999999999966e+00,2.056843000000000199e+00
5.760000000000000000e+02,3.000741999999999798e+00,2.049053999999999931e+00
5.770000000000000000e+02,3.007547000000000192e+00,2.041272000000000197e+00
5.780000000000000000e+02,3.014247999999999816e+00,2.033494000000000135e+00
5.790000000000000000e+02,3.020843999999999863e+00,2.025723000000000162e+00
5.800000000000000000e+02,3.027334999999999887e+00,2.017958000000000141e+00
5.810000000000000000e+02,3.033720999999999890e+00,2.010197999999999929e+00
5.820000000000000000e+02,3.040004000000000151e+00,2.002445999999999948e+00
5.830000000000000000e+02,3.046186000000000060e+00,1.994699999999999918e+00
5.840000000000000000e+02,3.052270000000000039e+00,1.986960999999999977e+00
5.850000000000000000e+02,3.058256999999999781e+00,1.979228999999999905e+00
5.860000000000000000e+02,3.064150000000000151e+00,1.971505000000000063e+00
5.870000000000000000e+02,3.069951999999999792e+00,1.963789000000000007e+00
5.880000000000000000e+02,3.075664000000000176e+00,1.956082000000000098e+00
5.890000000000000000e+02,3.081287999999999805e+00,1.948382999999999976e+00
5.900000000000000000e+02,3.086826999999999988e+00,1.940693000000000001e+00
5.910000000000000000e+02,3.092283000000000115e+00,1.933011999999999952e+00
5.920000000000000000e+02,3.097658000000000023e+00,1.925342000000000109e+00
5.930000000000000000e+02,3.102952999999999850e+00,1.917680999999999969e+00
5.940000000000000000e+02,3.108171000000000017e+00,1.910031000000000034e+00
5.950000000000000000e+02,3.113313999999999915e+00,1.902392000000000083e+00
5.960000000000000000e+02,3.118383000000000127e+00,1.894763999999999893e+00
5.970000000000000000e+02,3.123380000000000045e+00,1.887148000000000048e+00
5.980000000000000000e+02,3.128306999999999949e+00,1.879544000000000104e+00
5.990000000000000000e+02,3.133166000000000118e+00,1.871952999999999978e+00
6.000000000000000000e+02,3.137958999999999943e+00,1.864373999999999976e+00
6.010000000000000000e+02,3.142685999999999868e+00,1.856808999999999932e+00
6.020000000000000000e+02,3.147351000000000010e+00,1.849256999999999929e+00
6.030000000000000000e+02,3.151952999999999783e+00,1.841719000000000106e+00
6.040000000000000000e+02,3.156496000000000191e+00,1.834195999999999938e+00
6.050000000000000000e+02,3.160979999999999901e+00,1.826688000000000089e+00
6.060000000000000000e+02,3.165408000000000222e+00,1.819194999999999895e+00
6.070000000000000000e+02,3.169779999999999820e+00,1.811717000000000022e+00
6.080000000000000000e+02,3.174097000000000168e+00,1.804256000000000082e+00
6.090000000000000000e+02,3.178363000000000049e+00,1.796812000000000076e+00
6.100000000000000000e+02,3.182576000000000072e+00,1.789384000000000086e+00
6.110000000000000000e+02,3.186738000000000071e+00,1.781973000000000029e+00
6.120000000000000000e+02,3.190849000000000046e+00,1.774580000000000046e+00
6.130000000000000000e+02,3.194907999999999859e+00,1.767204999999999915e+00
6.140000000000000000e+02,3.198916000000000093e+00,1.759848000000000079e+00
6.150000000000000000e+02,3.202872999999999859e+00,1.752509000000000094e+00
6.160000000000000000e+02,3.206779000000000046e+00,1.745187999999999962e+00
6.170000000000000000e+02,3.210633000000000070e+00,1.737886000000000042e+00
6.180000000000000000e+02,3.214436000000000071e+00,1.730602999999999891e+00
6.190000000000000000e+02,3.218189000000000188e+00,1.723338999999999954e+00
6.200000000000000000e+02,3.221889000000000003e+00,1.716094999999999926e+00
6.210000000000000000e+02,3.225538999999999934e+00,1.708869999999999889e+00
6.220000000000000000e+02,3.229137999999999842e+00,1.701664999999999983e+00
6.230000000000000000e+02,3.232686000000000170e+00,1.694479999999999986e+00
6.240000000000000000e+02,3.236183000000000032e+00,1.687313999999999981e+00
6.250000000000000000e+02,3.239630000000000010e+00,1.680169000000000024e+00
6.260000000000000000e+02,3.243024999999999824e+00,1.673044999999999893e+00
6.270000000000000000e+02,3.246369000000000060e+00,1.665940999999999894e+00
6.280000000000000000e+02,3.249662999999999968e+00,1.658857999999999944e+00
6.290000000000000000e+02,3.252905999999999853e+00,1.651796000000000042e+00
6.300000000000000000e+02,3.256098999999999855e+00,1.644754000000000049e+00
6.310000000000000000e+02,3.259240000000000137e+00,1.637734000000000023e+00
