wavelength_nm,n,k
5.040000000000000000e+02,1.746459999999999901e+00,7.700000000000000247e-03
5.050000000000000000e+02,1.745889999999999942e+00,7.660000000000000142e-03
5.060000000000000000e+02,1.745319999999999983e+00,7.609999999999999577e-03
5.070000000000000000e+02,1.744760000000000089e+00,7.559999999999999880e-03
5.080000000000000000e+02,1.744210000000000038e+00,7.510000000000000182e-03
5.090000000000000000e+02,1.743670000000000053e+00,7.450000000000000025e-03
5.100000000000000000e+02,1.743139999999999912e+00,7.389999999999999868e-03
5.110000000000000000e+02,1.742609999999999992e+00,7.329999999999999710e-03
5.120000000000000000e+02,1.742089999999999916e+00,7.259999999999999960e-03
5.130000000000000000e+02,1.741570000000000062e+00,7.190000000000000210e-03
5.140000000000000000e+02,1.741060000000000052e+00,7.110000000000000001e-03
5.150000000000000000e+02,1.740560000000000107e+00,7.040000000000000251e-03
5.160000000000000000e+02,1.740059999999999940e+00,6.960000000000000041e-03
5.170000000000000000e+02,1.739570000000000061e+00,6.879999999999999831e-03
5.180000000000000000e+02,1.739079999999999959e+00,6.799999999999999621e-03
5.190000000000000000e+02,1.738599999999999923e+00,6.720000000000000279e-03
5.200000000000000000e+02,1.738110000000000044e+00,6.640000000000000069e-03
5.210000000000000000e+02,1.737640000000000073e+00,6.550000000000000266e-03
5.220000000000000000e+02,1.737160000000000037e+00,6.470000000000000057e-03
5.230000000000000000e+02,1.736690000000000067e+00,6.380000000000000254e-03
5.240000000000000000e+02,1.736229999999999940e+00,6.289999999999999584e-03
5.250000000000000000e+02,1.735770000000000035e+00,6.210000000000000242e-03
5.260000000000000000e+02,1.735309999999999908e+00,6.119999999999999572e-03
5.270000000000000000e+02,1.734850000000000003e+00,6.040000000000000230e-03
5.280000000000000000e+02,1.734399999999999942e+00,5.950000000000000427e-03
5.290000000000000000e+02,1.733950000000000102e+00,5.859999999999999758e-03
5.300000000000000000e+02,1.733500000000000041e+00,5.780000000000000415e-03
5.310000000000000000e+02,1.733060000000000045e+00,5.689999999999999745e-03
5.320000000000000000e+02,1.732620000000000049e+00,5.610000000000000403e-03
5.330000000000000000e+02,1.732189999999999896e+00,5.519999999999999733e-03
5.340000000000000000e+02,1.731749999999999901e+00,5.440000000000000391e-03
5.350000000000000000e+02,1.731319999999999970e+00,5.360000000000000181e-03
5.360000000000000000e+02,1.730900000000000105e+00,5.279999999999999971e-03
5.370000000000000000e+02,1.730469999999999953e+00,5.199999999999999761e-03
5.380000000000000000e+02,1.730050000000000088e+00,5.120000000000000419e-03
5.390000000000000000e+02,1.729630000000000001e+00,5.040000000000000209e-03
5.400000000000000000e+02,1.729209999999999914e+00,4.959999999999999999e-03
5.410000000000000000e+02,1.728799999999999892e+00,4.879999999999999789e-03
5.420000000000000000e+02,1.728390000000000093e+00,4.810000000000000039e-03
5.430000000000000000e+02,1.727980000000000071e+00,4.729999999999999830e-03
5.440000000000000000e+02,1.727579999999999893e+00,4.660000000000000080e-03
5.450000000000000000e+02,1.727179999999999938e+00,4.590000000000000330e-03
5.460000000000000000e+02,1.726779999999999982e+00,4.519999999999999712e-03
5.470000000000000000e+02,1.726390000000000091e+00,4.449999999999999963e-03
5.480000000000000000e+02,1.725989999999999913e+00,4.380000000000000213e-03
5.490000000000000000e+02,1.725600000000000023e+00,4.309999999999999595e-03
5.500000000000000000e+02,1.725219999999999976e+00,4.239999999999999845e-03
5.510000000000000000e+02,1.724839999999999929e+00,4.179999999999999688e-03
5.520000000000000000e+02,1.724450000000000038e+00,4.109999999999999938e-03
5.530000000000000000e+02,1.724069999999999991e+00,4.049999999999999781e-03
5.540000000000000000e+02,1.723700000000000010e+00,3.989999999999999623e-03
5.550000000000000000e+02,1.723330000000000028e+00,3.930000000000000333e-03
5.560000000000000000e+02,1.722960000000000047e+00,3.870000000000000176e-03
5.570000000000000000e+02,1.722590000000000066e+00,3.810000000000000019e-03
5.580000000000000000e+02,1.722229999999999928e+00,3.749999999999999861e-03
5.590000000000000000e+02,1.721870000000000012e+00,3.700000000000000164e-03
5.600000000000000000e+02,1.721510000000000096e+00,3.640000000000000006e-03
5.610000000000000000e+02,1.721149999999999958e+00,3.589999999999999875e-03
5.620000000000000000e+02,1.720800000000000107e+00,3.540000000000000178e-03
5.630000000000000000e+02,1.720450000000000035e+00,3.480000000000000020e-03
5.640000000000000000e+02,1.720099999999999962e+00,3.429999999999999889e-03
5.650000000000000000e+02,1.719759999999999955e+00,3.380000000000000192e-03
5.660000000000000000e+02,1.719410000000000105e+00,3.340000000000000087e-03
5.670000000000000000e+02,1.719070000000000098e+00,3.289999999999999956e-03
5.680000000000000000e+02,1.718730000000000091e+00,3.239999999999999825e-03
5.690000000000000000e+02,1.718399999999999928e+00,3.190000000000000127e-03
5.700000000000000000e+02,1.718069999999999986e+00,3.150000000000000022e-03
5.710000000000000000e+02,1.717740000000000045e+00,3.099999999999999891e-03
5.720000000000000000e+02,1.717410000000000103e+00,3.059999999999999786e-03
5.730000000000000000e+02,1.717090000000000005e+00,3.020000000000000115e-03
5.740000000000000000e+02,1.716769999999999907e+00,2.980000000000000010e-03
5.750000000000000000e+02,1.716450000000000031e+00,2.939999999999999905e-03
5.760000000000000000e+02,1.716129999999999933e+00,2.899999999999999800e-03
5.770000000000000000e+02,1.715819999999999901e+00,2.860000000000000129e-03
5.780000000000000000e+02,1.715510000000000090e+00,2.820000000000000024e-03
5.790000000000000000e+02,1.715200000000000058e+00,2.779999999999999919e-03
5.800000000000000000e+02,1.714890000000000025e+00,2.739999999999999814e-03
