wavelength_nm,n,k
4.860000000000000000e+02,1.767279999999999962e+00,0.000000000000000000e+00
4.870000000000000000e+02,1.766710000000000003e+00,0.000000000000000000e+00
4.880000000000000000e+02,1.766140000000000043e+00,0.000000000000000000e+00
4.890000000000000000e+02,1.765579999999999927e+00,0.000000000000000000e+00
4.900000000000000000e+02,1.765020000000000033e+00,0.000000000000000000e+00
4.910000000000000000e+02,1.764469999999999983e+00,0.000000000000000000e+00
4.920000000000000000e+02,1.763919999999999932e+00,0.000000000000000000e+00
4.930000000000000000e+02,1.763379999999999947e+00,0.000000000000000000e+00
4.940000000000000000e+02,1.762839999999999963e+00,0.000000000000000000e+00
4.950000000000000000e+02,1.762310000000000043e+00,0.000000000000000000e+00
4.960000000000000000e+02,1.761779999999999902e+00,0.000000000000000000e+00
4.970000000000000000e+02,1.761260000000000048e+00,0.000000000000000000e+00
4.980000000000000000e+02,1.760739999999999972e+00,0.000000000000000000e+00
4.990000000000000000e+02,1.760229999999999961e+00,0.000000000000000000e+00
5.000000000000000000e+02,1.759719999999999951e+00,0.000000000000000000e+00
5.010000000000000000e+02,1.759220000000000006e+00,0.000000000000000000e+00
5.020000000000000000e+02,1.758720000000000061e+00,0.000000000000000000e+00
5.030000000000000000e+02,1.758229999999999960e+00,0.000000000000000000e+00
5.040000000000000000e+02,1.757740000000000080e+00,0.000000000000000000e+00
5.050000000000000000e+02,1.757249999999999979e+00,0.000000000000000000e+00
5.060000000000000000e+02,1.756769999999999943e+00,0.000000000000000000e+00
5.070000000000000000e+02,1.756289999999999907e+00,0.000000000000000000e+00
5.080000000000000000e+02,1.755819999999999936e+00,0.000000000000000000e+00
5.090000000000000000e+02,1.755349999999999966e+00,0.000000000000000000e+00
5.100000000000000000e+02,1.754890000000000061e+00,0.000000000000000000e+00
5.110000000000000000e+02,1.754420000000000091e+00,0.000000000000000000e+00
5.120000000000000000e+02,1.753970000000000029e+00,0.000000000000000000e+00
5.130000000000000000e+02,1.753509999999999902e+00,0.000000000000000000e+00
5.140000000000000000e+02,1.753069999999999906e+00,0.000000000000000000e+00
5.150000000000000000e+02,1.752620000000000067e+00,0.000000000000000000e+00
5.160000000000000000e+02,1.752180000000000071e+00,0.000000000000000000e+00
5.170000000000000000e+02,1.751740000000000075e+00,0.000000000000000000e+00
5.180000000000000000e+02,1.751300000000000079e+00,0.000000000000000000e+00
5.190000000000000000e+02,1.750869999999999926e+00,0.000000000000000000e+00
5.200000000000000000e+02,1.750450000000000061e+00,0.000000000000000000e+00
5.210000000000000000e+02,1.750019999999999909e+00,0.000000000000000000e+00
5.220000000000000000e+02,1.749600000000000044e+00,0.000000000000000000e+00
5.230000000000000000e+02,1.749190000000000023e+00,0.000000000000000000e+00
5.240000000000000000e+02,1.748769999999999936e+00,0.000000000000000000e+00
5.250000000000000000e+02,1.748359999999999914e+00,0.000000000000000000e+00
5.260000000000000000e+02,1.747949999999999893e+00,0.000000000000000000e+00
5.270000000000000000e+02,1.747549999999999937e+00,0.000000000000000000e+00
5.280000000000000000e+02,1.747149999999999981e+00,0.000000000000000000e+00
5.290000000000000000e+02,1.746750000000000025e+00,0.000000000000000000e+00
5.300000000000000000e+02,1.746359999999999912e+00,0.000000000000000000e+00
5.310000000000000000e+02,1.745959999999999956e+00,0.000000000000000000e+00
5.320000000000000000e+02,1.745579999999999909e+00,0.000000000000000000e+00
5.330000000000000000e+02,1.745190000000000019e+00,0.000000000000000000e+00
5.340000000000000000e+02,1.744809999999999972e+00,0.000000000000000000e+00
5.350000000000000000e+02,1.744429999999999925e+00,0.000000000000000000e+00
5.360000000000000000e+02,1.744050000000000100e+00,0.000000000000000000e+00
5.370000000000000000e+02,1.743679999999999897e+00,0.000000000000000000e+00
5.380000000000000000e+02,1.743309999999999915e+00,0.000000000000000000e+00
5.390000000000000000e+02,1.742939999999999934e+00,0.000000000000000000e+00
5.400000000000000000e+02,1.742569999999999952e+00,0.000000000000000000e+00
