sample4R,,sample4R2,,
Wavelength (nm),%R,Wavelength (nm),%R,
642,16.49915504,642,16.77641678,
640,16.35237694,640,16.69958496,
638,16.48705482,638,16.54510117,
636,16.00682259,636,15.92650414,
634,16.33355904,634,16.03351021,
632,16.62731934,632,16.45194817,
630,16.41117477,630,16.59081078,
628,16.37199974,628,16.3118763,
626,16.66401291,626,17.00142097,
624,16.31645203,624,16.44099617,
622,16.16402054,622,16.07406425,
620,16.28325844,620,16.53029633,
618,16.16697311,618,16.36184883,
616,16.31336403,616,16.46323776,
614,15.91559029,614,16.01072502,
612,15.62316132,612,15.28665257,
610,16.27987099,610,16.45006752,
608,16.34772682,608,16.18292046,
606,15.70744228,606,15.98370647,
604,15.82452774,604,15.99411774,
602,15.53827477,602,16.14785385,
600,15.66559029,600,15.38143158,
598,15.39555359,598,15.74821949,
596,15.85407257,596,16.11449814,
594,15.807271,594,15.55764103,
592,15.82264423,592,15.72267151,
590,16.07944107,590,15.76244259,
588,15.95695019,588,15.62896919,
586,15.66690254,586,15.81339836,
584,15.53633976,584,15.57219887,
582,15.73531437,582,15.58405876,
580,15.5994339,580,15.715909,
578,15.72050476,578,15.37470245,
576,15.56169415,576,15.67266178,
574,15.5547533,574,15.24738693,
572,15.50528526,572,15.43930912,
570,15.36553383,570,15.11419106,
568,15.1470871,568,15.37573624,
566,15.31884861,566,15.37742615,
564,14.98097229,564,15.39862728,
562,15.44605923,562,14.94479179,
560,14.94276714,560,15.1859169,
558,15.39382648,558,15.07539749,
556,14.73217773,556,14.74735928,
554,14.80962658,554,14.83526421,
552,14.80066204,552,15.25781441,
550,14.6180706,550,14.58308983,
548,15.02084923,548,14.57865238,
546,15.07358551,546,14.85385895,
544,15.04788876,544,15.23493385,
542,14.90474033,542,14.95357895,
540,15.03908348,540,15.36765957,
538,14.68771267,538,15.08585835,
536,15.52357674,536,14.9815855,
534,14.42375469,534,15.12352562,
532,15.1290102,532,15.09273338,
530,14.36723137,530,15.03292465,
528,15.25016022,528,14.74480057,
526,14.6564827,526,14.65745831,
524,14.87077141,524,15.38419533,
522,14.90628433,522,14.78653145,
520,14.83457279,520,14.60746574,
518,14.93072033,518,15.0660677,
516,14.49860191,516,14.3631916,
514,14.20659733,514,14.18394852,
512,14.62982559,512,14.72989273,
510,14.7108717,510,14.30526257,
508,15.11905003,508,14.82976341,
506,14.46087646,506,14.99304008,
504,14.59229279,504,14.03385544,
502,14.5006628,502,14.54864407,
500,14.50555801,500,14.77172852,
498,14.7852478,498,14.4128685,
496,15.02184582,496,14.99429321,
494,14.97439289,494,14.75310898,
492,15.05567265,492,15.25060844,
490,14.61607933,490,14.679883,
488,14.11044121,488,14.17056179,
486,15.01595402,486,15.35178852,
484,14.71528244,484,15.14257526,
482,14.55169582,482,15.55745792,
480,14.88051128,480,14.93533134,
478,15.27598095,478,14.91052914,
476,15.27219868,476,15.53479385,
474,14.84051514,474,14.44417191,
472,14.83293629,472,15.38573933,
470,15.03613472,470,15.07186699,
468,14.9419117,468,14.47799969,
466,15.2787466,466,15.01688766,
464,15.01517487,464,14.70150089,
462,15.32738495,462,15.25831032,
460,15.46868706,460,15.25523663,
458,16.03083229,458,15.00534153,
456,15.12485695,456,15.2201767,
454,15.65814304,454,15.49363995,
452,15.9590292,452,15.07972813,
450,15.49823284,450,16.31649971,
448,15.64339447,448,15.92324543,
446,15.5797739,446,15.8399601,
444,15.33009529,444,14.71096611,
442,15.35612679,442,15.50456619,
440,16.67134857,440,16.17627144,
438,15.5598402,438,16.23015022,
436,17.28615761,436,16.16995621,
434,15.60725117,434,15.35268116,
432,15.71519852,432,15.78680611,
430,15.41885471,430,14.83603382,
