quantity,x,HATCN 5 / Ag 7,HATCN 5 / Ag 8,TCO 50 k=0.01,TCO 50 k=0.03,TCO 50 k=0.05,TCO 50 k=0.10
A_vs_angle_pct_at_550nm,9,2.1318,2.0442,0.5712,1.6996,2.8097,5.5069
A_vs_angle_pct_at_550nm,10,2.1413,2.0528,0.5751,1.7114,2.8292,5.5448
A_vs_angle_pct_at_550nm,11,2.1521,2.0626,0.5795,1.7244,2.8507,5.5867
A_vs_angle_pct_at_550nm,12,2.1642,2.0737,0.5844,1.7388,2.8743,5.6327
A_vs_angle_pct_at_550nm,13,2.1779,2.0862,0.5896,1.7544,2.9001,5.6828
A_vs_angle_pct_at_550nm,14,2.1932,2.1003,0.5954,1.7714,2.9281,5.7371
A_vs_angle_pct_at_550nm,15,2.2105,2.1160,0.6015,1.7897,2.9583,5.7956
A_vs_angle_pct_at_550nm,16,2.2298,2.1337,0.6082,1.8095,2.9908,5.8584
A_vs_angle_pct_at_550nm,17,2.2514,2.1535,0.6153,1.8306,3.0255,5.9256
A_vs_angle_pct_at_550nm,18,2.2757,2.1758,0.6230,1.8532,3.0627,5.9972
A_vs_angle_pct_at_550nm,19,2.3030,2.2009,0.6312,1.8774,3.1024,6.0736
A_vs_angle_pct_at_550nm,20,2.3340,2.2292,0.6399,1.9032,3.1447,6.1548
A_vs_angle_pct_at_550nm,21,2.3691,2.2615,0.6492,1.9307,3.1898,6.2412
A_vs_angle_pct_at_550nm,22,2.4093,2.2984,0.6592,1.9601,3.2380,6.3332
A_vs_angle_pct_at_550nm,23,2.4556,2.3410,0.6699,1.9917,3.2896,6.4317
A_vs_angle_pct_at_550nm,24,2.5095,2.3906,0.6816,2.0259,3.3454,6.5376
A_vs_angle_pct_at_550nm,25,2.5732,2.4491,0.6942,2.0631,3.4061,6.6526
A_vs_angle_pct_at_550nm,26,2.6495,2.5192,0.7083,2.1043,3.4732,6.7790
A_vs_angle_pct_at_550nm,27,2.7429,2.6048,0.7242,2.1509,3.5488,6.9211
A_vs_angle_pct_at_550nm,28,2.8601,2.7122,0.7428,2.2051,3.6368,7.0856
A_vs_angle_pct_at_550nm,29,3.0124,2.8514,0.7655,2.2712,3.7437,7.2845
A_vs_angle_pct_at_550nm,30,3.2196,3.0401,0.7951,2.3571,3.8824,7.5411
A_vs_angle_pct_at_550nm,31,3.5217,3.3137,0.8376,2.4802,4.0808,7.9057
A_vs_angle_pct_at_550nm,32,4.0148,3.7566,0.9090,2.6867,4.4123,8.5111
A_vs_angle_pct_at_550nm,33,5.0399,4.6618,1.0736,3.1608,5.1711,9.8847
A_vs_angle_pct_at_550nm,34,7.1188,6.2974,1.8442,5.3789,8.7186,16.2868
A_vs_angle_pct_at_550nm,35,5.4418,4.9195,1.5792,4.6363,7.5625,14.3367
A_vs_angle_pct_at_550nm,36,5.0198,4.6304,1.4995,4.4138,7.2175,13.7627
A_vs_angle_pct_at_550nm,37,5.0051,4.7072,1.4891,4.3883,7.1835,13.7325
A_vs_angle_pct_at_550nm,38,5.2241,5.0067,1.5158,4.4687,7.3178,14.0000
A_vs_angle_pct_at_550nm,39,5.6120,5.4782,1.5660,4.6162,7.5588,14.4572
A_vs_angle_pct_at_550nm,40,6.1392,6.1002,1.6327,4.8113,7.8755,15.0483
A_vs_angle_pct_at_550nm,41,6.7909,6.8635,1.7123,5.0431,8.2501,15.7410
A_vs_angle_pct_at_550nm,42,7.5594,7.7641,1.8026,5.3049,8.6721,16.5157
A_vs_angle_pct_at_550nm,43,8.4401,8.7995,1.9020,5.5928,9.1348,17.3595
A_vs_angle_pct_at_550nm,44,9.4299,9.9669,2.0098,5.9040,9.6337,18.2635
A_vs_angle_pct_at_550nm,45,10.5257,11.2606,2.1254,6.2367,10.1658,19.2216
A_vs_angle_pct_at_550nm,46,11.7233,12.6713,2.2483,6.5900,10.7292,20.2293
A_vs_angle_pct_at_550nm,47,13.0167,14.1841,2.3786,6.9629,11.3223,21.2833
A_vs_angle_pct_at_550nm,48,14.3977,15.7777,2.5159,7.3551,11.9444,22.3809
A_vs_angle_pct_at_550nm,49,15.8547,17.4239,2.6603,7.7664,12.5948,23.5202
A_vs_angle_pct_at_550nm,50,17.3728,19.0875,2.8119,8.1968,13.2733,24.6996
A_vs_angle_pct_at_550nm,51,18.9337,20.7277,2.9708,8.6462,13.9796,25.9179
A_vs_angle_pct_at_550nm,52,20.5151,22.3001,3.1370,9.1150,14.7138,27.1741
A_vs_angle_pct_at_550nm,53,22.0920,23.7600,3.3109,9.6035,15.4761,28.4672
A_vs_angle_pct_at_550nm,54,23.6369,25.0654,3.4925,10.1120,16.2669,29.7967
A_vs_angle_pct_at_550nm,55,25.1209,26.1812,3.6822,10.6410,17.0865,31.1619
A_vs_angle_pct_at_550nm,56,26.5157,27.0819,3.8803,11.1911,17.9354,32.5624
A_vs_angle_pct_at_550nm,57,27.7943,27.7534,4.0871,11.7630,18.8141,33.9975
A_vs_angle_pct_at_550nm,58,28.9332,28.1938,4.3029,12.3574,19.7234,35.4669
A_vs_angle_pct_at_550nm,59,29.9135,28.4120,4.5282,12.9750,20.6640,36.9701
A_vs_angle_pct_at_550nm,60,30.7221,28.4262,4.7635,13.6167,21.6367,38.5065
A_vs_angle_pct_at_550nm,61,31.3518,28.2609,5.0092,14.2835,22.6422,40.0756
A_vs_angle_pct_at_550nm,62,31.8021,27.9446,5.2659,14.9762,23.6814,41.6766
A_vs_angle_pct_at_550nm,63,32.0780,27.5072,5.5341,15.6960,24.7552,43.3085
A_vs_angle_pct_at_550nm,64,32.1899,26.9779,5.8144,16.4439,25.8643,44.9701
A_vs_angle_pct_at_550nm,65,32.1522,26.3840,6.1076,17.2211,27.0096,46.6598
A_vs_angle_pct_at_550nm,66,31.9821,25.7501,6.4142,18.0285,28.1917,48.3756
A_vs_angle_pct_at_550nm,67,31.6989,25.0977,6.7350,18.8673,29.4110,50.1146
A_vs_angle_pct_at_550nm,68,31.3225,24.4454,7.0708,19.7384,30.6677,51.8735
A_vs_angle_pct_at_550nm,69,30.8733,23.8086,7.4222,20.6425,31.9615,53.6475
A_vs_angle_pct_at_550nm,70,30.3707,23.2007,7.7899,21.5804,33.2915,55.4306
A_vs_angle_pct_at_550nm,71,29.8336,22.6331,8.1746,22.5519,34.6560,57.2150
A_vs_angle_pct_at_550nm,72,29.2797,22.1157,8.5767,23.5568,36.0521,58.9906
A_vs_angle_pct_at_550nm,73,28.7255,21.6578,8.9965,24.5936,37.4755,60.7441
A_vs_angle_pct_at_550nm,74,28.1870,21.2684,9.4340,25.6598,38.9194,62.4585
A_vs_angle_pct_at_550nm,75,27.6793,20.9568,9.8885,26.7512,40.3745,64.1116
A_vs_angle_pct_at_550nm,76,27.2173,20.7338,10.3589,27.8612,41.8270,65.6745
A_vs_angle_pct_at_550nm,77,26.8162,20.6118,10.8427,28.9796,43.2579,67.1095
A_vs_angle_pct_at_550nm,78,26.4918,20.6063,11.3359,30.0914,44.6405,68.3677
A_vs_angle_pct_at_550nm,79,26.2611,20.7373,11.8320,31.1748,45.9375,69.3847
A_vs_angle_pct_at_550nm,80,26.1428,21.0307,12.3207,32.1977,47.0969,70.0761
