angle_deg,Al,Ag,ITO_50_nm_+_chirped_DBR,ITO_50_nm_+_plain_quarter-wave_DBR,weight
4.469888268156424260e+01,1.531837958436599223e+01,4.616408624632517999e+00,4.137725006176651732e+00,4.319445517645526422e+00,9.999694017695182069e-01
4.520111731843575598e+01,1.524085632191131090e+01,4.572832115045155632e+00,4.202373875894771516e+00,4.312005704909182668e+00,1.000000000000000000e+00
4.570335195530726224e+01,1.516902175939347508e+01,4.544726023024326267e+00,4.265098361650165870e+00,4.290254537272019775e+00,9.997232597606047211e-01
4.620558659217876851e+01,1.510407239287007108e+01,4.520352867384302975e+00,4.322421545203125604e+00,4.269152351266303214e+00,9.991392661042539647e-01
4.670782122905028189e+01,1.504711072063694743e+01,4.498153142865845666e+00,4.371658338788630971e+00,4.253709217396728803e+00,9.982481985146640646e-01
4.721005586592178815e+01,1.499912377923026163e+01,4.477929940849256774e+00,4.412352325568457800e+00,4.249081396697873103e+00,9.970503308511853291e-01
4.771229050279330153e+01,1.496096574938995438e+01,4.459852490697091554e+00,4.446823153912593085e+00,4.256649813529689297e+00,9.955460312646319254e-01
4.821452513966480069e+01,1.493334500259226871e+01,4.444203988256689719e+00,4.478950684262916759e+00,4.274946521607125405e+00,9.937357620841373862e-01
4.871675977653631406e+01,1.491681565625121486e+01,4.431292165583988307e+00,4.511638576556542546e+00,4.301097578491786422e+00,9.916200796750614943e-01
4.921899441340782033e+01,1.491177342506514414e+01,4.421409933870124043e+00,4.544339364088855859e+00,4.329837215414478635e+00,9.891996342679988397e-01
4.972122905027932660e+01,1.491845532556552811e+01,4.414815634466329186e+00,4.572287941345642537e+00,4.358531794533815784e+00,9.864751697589367874e-01
5.022346368715083997e+01,1.493694262938226558e+01,4.411722695274900019e+00,4.588505522115992719e+00,4.381397689744426671e+00,9.834475234806294708e-01
5.072569832402234624e+01,1.496716637680348683e+01,4.412294616457490548e+00,4.587849989815929064e+00,4.396059207674585245e+00,9.801176259452506478e-01
5.122793296089385251e+01,1.500891475516180584e+01,4.416643333269510308e+00,4.570739342509089198e+00,4.404358185597779141e+00,9.764865005584142388e-01
5.173016759776536588e+01,1.506184170713007475e+01,4.424829823101584125e+00,4.543741419043212382e+00,4.405256784455991337e+00,9.725552633046403717e-01
5.223240223463687215e+01,1.512547624527636003e+01,4.436866182363308653e+00,4.516653406317450603e+00,4.408160367754721420e+00,9.683251224043714078e-01
5.273463687150837842e+01,1.519923208845186480e+01,4.452718592352966631e+00,4.498525797227570067e+00,4.411820289937329775e+00,9.637973779426388665e-01
5.323687150837989179e+01,1.528241737758998475e+01,4.472310731526196292e+00,4.495022960912131715e+00,4.426582688081026618e+00,9.589734214694978220e-01
5.373910614525140517e+01,1.537424435085864616e+01,4.495527312501512718e+00,4.507740260810500388e+00,4.449770192626944620e+00,9.538547355723491217e-01
5.424134078212290433e+01,1.547383894660237047e+01,4.522217532405514717e+00,4.534886610250521422e+00,4.485230299803122378e+00,9.484428934202847605e-01
5.474357541899441060e+01,1.558025035397071534e+01,4.552198318102518293e+00,4.572506187298774449e+00,4.530153238152056616e+00,9.427395582805905283e-01
5.524581005586592397e+01,1.569246055228587977e+01,4.585257314736457701e+00,4.615708778557370273e+00,4.581260586766012111e+00,9.367464830075613591e-01
5.574804469273743024e+01,1.580939388309802140e+01,4.621155603460758599e+00,4.659739343844693238e+00,4.635535626131503939e+00,9.304655095037820400e-01
5.625027932960893651e+01,1.592992669549506601e+01,4.659630147037708170e+00,4.700902826846887095e+00,4.686815440630165419e+00,9.238985681540379247e-01
5.675251396648044988e+01,1.605289710395142322e+01,4.700395961098314146e+00,4.737297218672287258e+00,4.733044319706214864e+00,9.170476772320356185e-01
5.725474860335195615e+01,1.617711490280494502e+01,4.743148006410057960e+00,4.769171394504234662e+00,4.772249666929906375e+00,9.099149422801084963e-01
5.775698324022346242e+01,1.630137169322105706e+01,4.787562802569889087e+00,4.798739196486945247e+00,4.801777848755895306e+00,9.025025554621025625e-01
5.825921787709496869e+01,1.642445129674157300e+01,4.833299780454558103e+00,4.829470716724138413e+00,4.834720959912153226e+00,8.948127948896402728e-01
5.876145251396648206e+01,1.654514055346272272e+01,4.880002419854667650e+00,4.865100472642924778e+00,4.858863983680272725e+00,8.868480239219702632e-01
5.926368715083798833e+01,1.666224063129070387e+01,4.927299258223771794e+00,4.908669192605630727e+00,4.902756305282951033e+00,8.786106904396142614e-01
5.976592178770949459e+01,1.677457900227052789e+01,4.974804903780061238e+00,4.961820620471679710e+00,4.945015334255476347e+00,8.701033260920407741e-01
6.026815642458101507e+01,1.688102226476244638e+01,5.022121238101496132e+00,5.024440663794049300e+00,5.005869104680826354e+00,8.613285455195907048e-01
6.077039106145252134e+01,1.698048999090902100e+01,5.068839045407580457e+00,5.094669054321010471e+00,5.082333381801196204e+00,8.522890455498992601e-01
6.127262569832402761e+01,1.707196973287028641e+01,5.114540350964402293e+00,5.169289331689541633e+00,5.155767039583281530e+00,8.429876043690555099e-01
6.177486033519553388e+01,1.715453319655441078e+01,5.158801778914378744e+00,5.244389562249118342e+00,5.248849060048943471e+00,8.334270806677593901e-01
6.227709497206704015e+01,1.722735335506067145e+01,5.201199235487397488e+00,5.316109902888721095e+00,5.341398610067704666e+00,8.236104127627364990e-01
6.277932960893854641e+01,1.728972190508700635e+01,5.241314168620759162e+00,5.381366176953150671e+00,5.415849322042687319e+00,8.135406176936801348e-01
6.328156424581005268e+01,1.734106597619666701e+01,5.278741530796215997e+00,5.438492504099212255e+00,5.491813210762086506e+00,8.032207902959989099e-01
