wavelength_nm,HATCN5_Ag4_T_pct,HATCN5_Ag4_Rmeas_pct,HATCN5_Ag4_Rcorr_pct,HATCN5_Ag4_A_pct,HATCN5_Ag5_T_pct,HATCN5_Ag5_Rmeas_pct,HATCN5_Ag5_Rcorr_pct,HATCN5_Ag5_A_pct,HATCN5_Ag6_T_pct,HATCN5_Ag6_Rmeas_pct,HATCN5_Ag6_Rcorr_pct,HATCN5_Ag6_A_pct,HATCN5_Ag7_T_pct,HATCN5_Ag7_Rmeas_pct,HATCN5_Ag7_Rcorr_pct,HATCN5_Ag7_A_pct,HATCN5_Ag8_T_pct,HATCN5_Ag8_Rmeas_pct,HATCN5_Ag8_Rcorr_pct,HATCN5_Ag8_A_pct,HATCN5_Ag10_T_pct,HATCN5_Ag10_Rmeas_pct,HATCN5_Ag10_Rcorr_pct,HATCN5_Ag10_A_pct,HATCN5_Ag12_T_pct,HATCN5_Ag12_Rmeas_pct,HATCN5_Ag12_Rcorr_pct,HATCN5_Ag12_A_pct,MoOx5_bare_T_pct,MoOx5_bare_Rmeas_pct,MoOx5_bare_Rcorr_pct,MoOx5_bare_A_pct,MoOx5_Ag4_T_pct,MoOx5_Ag4_Rmeas_pct,MoOx5_Ag4_Rcorr_pct,MoOx5_Ag4_A_pct,MoOx5_Ag5_T_pct,MoOx5_Ag5_Rmeas_pct,MoOx5_Ag5_Rcorr_pct,MoOx5_Ag5_A_pct,MoOx5_Ag6_T_pct,MoOx5_Ag6_Rmeas_pct,MoOx5_Ag6_Rcorr_pct,MoOx5_Ag6_A_pct,MoOx5_Ag7_T_pct,MoOx5_Ag7_Rmeas_pct,MoOx5_Ag7_Rcorr_pct,MoOx5_Ag7_A_pct,MoOx5_Ag8_T_pct,MoOx5_Ag8_Rmeas_pct,MoOx5_Ag8_Rcorr_pct,MoOx5_Ag8_A_pct,MoOx5_Ag10_T_pct,MoOx5_Ag10_Rmeas_pct,MoOx5_Ag10_Rcorr_pct,MoOx5_Ag10_A_pct,MoOx5_Ag12_T_pct,MoOx5_Ag12_Rmeas_pct,MoOx5_Ag12_Rcorr_pct,MoOx5_Ag12_A_pct
810,58.1758,19.8110,20.0427,21.7814,61.1575,24.4647,24.7208,14.1217,59.7225,28.2085,28.4527,11.8248,54.5407,37.2789,37.4826,7.9767,47.4695,44.5101,44.6644,7.8662,42.3877,51.0013,51.1243,6.4879,32.6347,61.1723,61.2452,6.1201,,,,,61.7441,13.3985,13.6596,24.5963,60.6092,15.0829,15.3344,24.0564,60.2502,16.2280,16.4766,23.2733,60.8903,22.6038,22.8577,16.2520,47.6092,30.5121,30.6673,21.7235,43.5481,37.0606,37.1905,19.2614,,,,
808,57.7656,19.3871,19.6157,22.6187,61.0803,24.6555,24.9110,14.0088,59.5972,28.8250,29.0683,11.3345,54.6944,36.9967,37.2015,8.1041,47.4528,44.4711,44.6253,7.9219,42.4220,50.5557,50.6789,6.8991,32.2847,61.3302,61.4016,6.3137,,,,,61.7329,13.9634,14.2244,24.0427,60.7621,15.0985,15.3513,23.8866,60.2331,16.8785,17.1270,22.6399,61.1755,23.1617,23.4180,15.4066,48.4279,30.6733,30.8339,20.7382,43.3327,37.3658,37.4943,19.1730,,,,
806,57.9729,19.0699,19.3000,22.7270,61.4793,24.6866,24.9455,13.5752,60.0659,28.3970,28.6441,11.2901,55.1913,36.5924,36.8010,8.0077,48.2036,44.1492,44.3083,7.4881,42.0461,50.3312,50.4523,7.5016,32.8001,60.9860,61.0597,6.1403,,,,,61.2655,13.6971,13.9542,24.7803,60.8268,14.8034,15.0568,24.1163,60.3938,16.9195,17.1693,22.4369,61.3017,22.8286,23.0860,15.6123,48.4202,30.1627,30.3233,21.2565,43.4705,37.0330,37.1625,19.3671,,,,
804,58.3223,19.0987,19.3316,22.3460,61.2434,24.8931,25.1500,13.6066,60.1631,28.1921,28.4400,11.3968,55.2883,37.2263,37.4357,7.2760,48.1483,44.6811,44.8399,7.0119,42.3330,50.9540,51.0767,6.5902,33.1649,61.0293,61.1047,5.7304,,,,,60.9964,14.0698,14.3246,24.6790,61.0820,14.8731,15.1286,23.7894,60.4109,17.2515,17.5015,22.0877,61.6492,22.5628,22.8231,15.5277,47.7227,30.4589,30.6149,21.6624,43.9723,37.9822,38.1147,17.9131,,,,
802,58.3626,19.0494,19.2827,22.3548,61.4825,24.5142,24.7732,13.7444,59.8250,28.3409,28.5861,11.5889,55.3755,36.8606,37.0707,7.5538,47.7639,44.3262,44.4824,7.7537,42.3426,50.4333,50.5561,7.1013,32.8660,60.6006,60.6746,6.4594,,,,,61.1532,14.1157,14.3719,24.4750,60.8594,15.0659,15.3196,23.8210,59.8885,16.6679,16.9136,23.1979,62.1328,22.7898,23.0543,14.8129,48.6339,30.2776,30.4396,20.9265,44.1963,37.6729,37.8067,17.9970,,,,
800,58.1276,19.0870,19.3185,22.5539,61.5171,24.2747,24.5339,13.9490,60.2134,27.9758,28.2241,11.5625,55.4204,36.0334,36.2438,8.3358,48.6983,44.2429,44.4054,6.8963,41.7444,49.6331,49.7525,8.5031,32.6979,60.5215,60.5948,6.7073,,,,,60.6742,13.8584,14.1106,25.2152,60.6156,14.9949,15.2466,24.1378,60.3853,16.3403,16.5901,23.0246,61.6984,22.8260,23.0868,15.2148,48.6275,30.3580,30.5200,20.8525,43.5186,37.0010,37.1308,19.3506,,,,
798,58.5764,18.9981,19.2332,22.1904,61.6726,24.2336,24.4942,13.8333,60.4772,28.0125,28.2631,11.2597,55.8815,36.4157,36.6296,7.4889,48.5430,43.8756,44.0370,7.4200,43.3671,50.0062,50.1351,6.4978,33.1385,60.3377,60.4129,6.4486,,,,,61.0908,13.9295,14.1852,24.7239,60.7484,14.9501,15.2029,24.0487,60.0607,16.7559,17.0031,22.9363,61.5686,22.4629,22.7226,15.7087,48.3814,29.9404,30.1008,21.5178,44.0655,36.8966,37.0296,18.9048,,,,
796,58.5699,18.8073,19.0423,22.3877,61.6410,23.8917,24.1521,14.2069,60.4602,27.9383,28.1887,11.3510,55.7482,36.2948,36.5078,7.7440,49.0838,43.8562,44.0213,6.8949,43.0088,50.1999,50.3267,6.6646,33.2832,60.2560,60.3320,6.3849,,,,,60.7016,13.6477,13.9001,25.3983,60.8591,14.9243,15.1780,23.9628,60.0081,16.0028,16.2495,23.7424,61.0382,22.4791,22.7344,16.2274,48.2399,29.6400,29.7994,21.9607,44.0466,37.2035,37.3365,18.6170,,,,
794,58.6435,19.0947,19.3303,22.0261,61.7374,24.2265,24.4877,13.7749,60.8196,27.7147,27.9682,11.2122,56.2392,35.8372,36.0539,7.7069,49.1013,43.6013,43.7665,7.1323,43.2310,49.7573,49.8854,6.8836,33.3907,60.2111,60.2875,6.3218,,,,,60.7999,13.9927,14.2460,24.9541,60.9769,14.7725,15.0273,23.9958,60.0960,16.7711,17.0186,22.8854,61.4704,22.5156,22.7745,15.7551,48.5715,29.5732,29.7349,21.6936,44.4135,36.5060,36.6412,18.9453,,,,
792,58.5468,18.8819,19.1168,22.3364,61.7472,23.7478,24.0091,14.2437,60.8227,27.6129,27.8664,11.3108,55.7754,35.8239,36.0371,8.1876,48.8105,43.2088,43.3721,7.8174,43.0178,49.6174,49.7442,7.2380,33.5042,59.6384,59.7154,6.7804,,,,,61.1683,13.6947,13.9511,24.8806,60.9445,14.6320,14.8865,24.1690,59.9640,16.3573,16.6038,23.4323,61.2030,21.8638,22.1205,16.6765,48.3183,29.7914,29.9514,21.7303,44.0386,36.4816,36.6145,19.3469,,,,
